Orthogroup	Arabidopsis_thaliana	Tarenaya_hassleriana
OG0006129	AT5G45460, AT5G45470	Th2v16580
OG0006130	AT1G16530	Th2v01430, Th2v05652
OG0006131	AT2G42490	Th2v23528, Th2v20389
OG0006132	AT4G10340	Th2v04640, Th2v16868
OG0006133	AT1G76660	Th2v09812
OG0006134	AT1G07473, AT1G07476	Th2v08273
OG0006135	AT5G54680	Th2v05471
OG0006136	AT5G07630	Th2v11887
OG0006137	AT5G20970	Th2v18960
OG0006138	AT3G03970	Th2v18517, Th2v22832
OG0006139	AT3G25100	Th2v19576
OG0006140	AT1G62400	Th2v04914
OG0006141	AT4G33420	Th2v01891
OG0006142	AT3G57280	Th2v13164, Th2v25807
OG0006143	AT1G12980	Th2v06429, Th2v15128, Th2v28518
OG0006144	AT5G58970	Th2v17811, Th2v21307
OG0006145	AT5G37530	Th2v06284, Th2v14985
OG0006146	AT5G16560	Th2v09085, Th2v18590
OG0006147	AT1G59700, AT1G59670	Th2v24262
OG0006148	AT1G13790	Th2v07542, Th2v15740
OG0006149	AT5G35917, AT5G05260	Th2v20190
OG0006150	AT4G18510	Th2v27260
OG0006151	AT3G61160	Th2v07158
OG0006152	AT2G29710, AT2G29730	Th2v01114
OG0006153	AT1G75390	Th2v04062, Th2v05843, Th2v20941
OG0006154	AT3G12900	Th2v23577
OG0006156	AT1G31500	Th2v01442
OG0006157	AT3G25120	Th2v25282
OG0006159	AT5G63860	Th2v11828, Th2v13748
OG0006160	AT1G36280, AT4G18440	Th2v16537
OG0006161	AT5G07020	Th2v17738
OG0006162	AT1G71940	Th2v04181
OG0006163	AT5G13670	Th2v09207, Th2v09211
OG0006164	AT3G54290	Th2v06609, Th2v15309, Th2v30296
OG0006165	AT4G37295	Th2v12318
OG0006166	AT3G10985	Th2v08760
OG0006167	AT5G51020	Th2v23258
OG0006168	AT2G44820	Th2v24451
OG0006169	AT5G17230	Th2v09123, Th2v22960
OG0006170	AT5G19790	Th2v17470
OG0006171	AT4G24930	Th2v09392
OG0006172	AT1G19300	Th2v03776, Th2v05866, Th2v20969
OG0006173	AT2G20280	Th2v17763
OG0006174	AT3G15355	Th2v00871, Th2v23798, Th2v27363
OG0006175	AT1G50560, AT1G50520	Th2v21785, Th2v30155
OG0006176	AT5G48270	Th2v24758
OG0006177	AT1G15420	Th2v10240, Th2v23432
OG0006178	AT1G09960	Th2v06142, Th2v14849, Th2v24299
OG0006179	AT2G38670	Th2v14537, Th2v17034
OG0006180	AT5G21960	Th2v18941, Th2v21484
OG0006181	AT5G62280	Th2v13951
OG0006182	AT4G13830	Th2v19484, Th2v24551
OG0006183	AT1G26750	Th2v03994, Th2v23954
OG0006184	AT5G04530	Th2v09199, Th2v17769, Th2v09218, Th2v19794
OG0006186	AT2G28920	Th2v01100, Th2v07547
OG0006188	AT5G52180	Th2v26903
OG0006191	AT5G14330	Th2v24721
OG0006192	AT3G27160	Th2v06405, Th2v15104, Th2v28478
OG0006193	AT5G02110	Th2v08943
OG0006194	AT5G52900	Th2v09726, Th2v26927
OG0006195	AT1G68590	Th2v24860
OG0006196	AT4G17810	Th2v17070, Th2v27182
OG0006197	AT1G68320	Th2v03964, Th2v24827
OG0006198	AT3G24090	Th2v19515, Th2v25343
OG0006199	AT1G72310	Th2v05965, Th2v21087
OG0006200	AT1G49560	Th2v01202, Th2v29125
OG0006201	AT5G58060	Th2v05591, Th2v21781
OG0006202	AT5G21280	Th2v18939
OG0006203	AT4G35320	Th2v02921, Th2v12153
OG0006205	AT5G55960	Th2v05510, Th2v09483
OG0006207	AT4G01410	Th2v07862, Th2v26989
OG0006208	AT3G60380	Th2v07087, Th2v18088
OG0006209	AT3G56950	Th2v03427, Th2v06764, Th2v15462
OG0006210	AT4G16650	Th2v10582, Th2v29526
OG0006211	AT5G60910	Th2v11871, Th2v13842
OG0006212	AT3G50630	Th2v13481, Th2v14202, Th2v26680
OG0006213	AT3G15110	Th2v27384
OG0006214	AT3G10960	Th2v20196
OG0006215	AT5G49690	Th2v30670
OG0006216	AT2G30530	Th2v08227
OG0006217	AT2G01500	Th2v06547, Th2v15246
OG0006218	AT2G46080	Th2v07179, Th2v12886, Th2v12883, Th2v22580
OG0006219	AT5G45040	Th2v10734
OG0006220	AT1G69380	Th2v24935
OG0006221	AT1G77690	Th2v27996
OG0006222	AT1G52630	Th2v00855
OG0006223	AT3G12800, AT1G36580, AT2G07640	Th2v13410
OG0006224	AT5G02430	Th2v08928, Th2v19975
OG0006225	AT1G32370	Th2v27759, Th2v29071, Th2v27877
OG0006226	AT1G08510	Th2v08473, Th2v19792
OG0006227	AT5G54590	Th2v05468
OG0006230	AT5G43960	Th2v16142, Th2v08015, Th2v27063
OG0006232	AT3G11110	Th2v08772, Th2v14398, Th2v22226
OG0006233	AT5G03510	Th2v14441
OG0006234	AT4G14746	Th2v05395, Th2v18682, Th2v30005
OG0006235	AT3G52450	Th2v03604, Th2v30491
OG0006236	AT1G14710	Th2v05406
OG0006237	AT5G20180	Th2v18033, Th2v19019
OG0006238	AT3G61730, AT5G36000	Th2v07201, Th2v12925, Th2v22621
OG0006239	AT1G63700	Th2v20500, Th2v04856, Th2v06049, Th2v14758
OG0006240	AT5G43155, AT5G43160	Th2v01256, Th2v30979, Th2v30485, Th2v01257
OG0006241	AT5G41350	Th2v04853, Th2v06051, Th2v14760
OG0006242	AT1G21340	Th2v09829
OG0006243	AT5G64020, AT2G37720	Th2v13743
OG0006244	AT1G51405	Th2v21862
OG0006245	AT3G21710	Th2v19291
OG0006246	AT5G25510	Th2v21441
OG0006248	AT5G60620	Th2v12139
OG0006249	AT1G30700	Th2v27868
OG0006250	AT5G67190	Th2v13516, Th2v14227, Th2v26655
OG0006251	AT5G12260	Th2v19217
OG0006252	AT1G16780, AT1G78920	Th2v10088, Th2v23316
OG0006254	AT3G62600	Th2v07318, Th2v13009, Th2v22714
OG0006255	AT3G49100	Th2v23920
OG0006256	AT1G13360	Th2v00201, Th2v28551
OG0006257	AT3G16000	Th2v21947
OG0006259	AT2G25970	Th2v02011, Th2v11071, Th2v29809
OG0006260	AT1G75900	Th2v05811, Th2v20907
OG0006261	AT3G04280	Th2v11609, Th2v22852
OG0006262	AT3G12300	Th2v08677
OG0006263	AT1G30690	Th2v01407, Th2v10505
OG0006264	AT2G25840	Th2v01965
OG0006265	AT4G35790	Th2v02462, Th2v02971, Th2v21584
OG0006266	AT1G80600	Th2v05620, Th2v10198
OG0006267	AT4G11820	Th2v20547, Th2v04510, Th2v16754
OG0006268	AT5G11920	Th2v19248, Th2v29021
OG0006269	AT3G27700	Th2v00319, Th2v06376, Th2v15076
OG0006270	AT5G08110	Th2v24103
OG0006271	AT1G21500	Th2v05721, Th2v20809
OG0006272	AT1G51340	Th2v24408, Th2v29917
OG0006273	AT5G20190	Th2v18032, Th2v19018
OG0006274	AT3G14180	Th2v23698, Th2v26125
OG0006275	AT1G21460	Th2v05726, Th2v20814, Th2v09843
OG0006276	AT3G54750	Th2v06625, Th2v15324, Th2v29169
OG0006277	AT1G16920	Th2v05991, Th2v23305
OG0006278	AT1G18740	Th2v30869, Th2v20326, Th2v17220
OG0006279	AT5G60800	Th2v17909, Th2v21232
OG0006280	AT5G56760	Th2v09543
OG0006282	AT1G51640	Th2v30023
OG0006283	AT1G13740	Th2v00146, Th2v28716
OG0006284	AT1G72160	Th2v27945, Th2v21155, Th2v30712
OG0006285	AT4G38120	Th2v16976
OG0006286	AT2G15695	Th2v02553, Th2v12054
OG0006287	AT3G18050	Th2v26346, Th2v27619
OG0006288	AT5G62850	Th2v09250
OG0006289	AT3G07070	Th2v24814
OG0006290	AT4G30850	Th2v01782, Th2v12359
OG0006291	AT1G08650	Th2v05156, Th2v06216, Th2v06217
OG0006292	AT3G57120	Th2v21195, Th2v01054, Th2v08335
OG0006293	AT5G04320	Th2v20113
OG0006294	AT5G28770	Th2v25401, Th2v11129, Th2v18491
OG0006295	AT5G16840	Th2v22981
OG0006296	AT3G44050	Th2v18936
OG0006297	AT4G18020	Th2v27163
OG0006298	AT3G23620	Th2v19458, Th2v28768
OG0006299	AT1G19850	Th2v05833, Th2v20928, Th2v28060
OG0006300	AT4G18770	Th2v23532
OG0006301	AT5G25610	Th2v17631
OG0006302	AT2G44050	Th2v06950, Th2v13390, Th2v26006
OG0006303	AT3G56010	Th2v03395, Th2v06719, Th2v15416
OG0006304	AT5G57630, AT5G57565	Th2v09605
OG0006305	AT4G00955, AT2G23450	Th2v03074, Th2v12287
OG0006306	AT5G27300, AT2G27790	Th2v06189, Th2v14893
OG0006307	AT5G61340	Th2v13873, Th2v24070
OG0006308	AT2G47050	Th2v27555
OG0006309	AT5G52060	Th2v26898, Th2v09782, Th2v29503
OG0006310	AT1G29260	Th2v10374, Th2v26525, Th2v31198
OG0006311	AT5G11470	Th2v17632
OG0006312	AT1G12350, AT5G02080	Th2v10973
OG0006313	AT5G11970	Th2v19244, Th2v29018
OG0006314	AT5G63320	Th2v09273, Th2v17370
OG0006315	AT4G14385	Th2v29182, Th2v29183
OG0006316	AT2G18400	Th2v02417, Th2v28829
OG0006317	AT1G17680	Th2v29582, Th2v03041, Th2v29581
OG0006318	AT3G62390	Th2v07277, Th2v13001, Th2v22705
OG0006319	AT1G20180	Th2v20902, Th2v28109
OG0006320	AT2G43465	Th2v13345, Th2v25968
OG0006321	AT3G23820	Th2v19481, Th2v28790
OG0006322	AT2G43970	Th2v06947, Th2v13386, Th2v26002
OG0006323	AT4G37180	Th2v02403, Th2v03068
OG0006324	AT1G27600	Th2v03821, Th2v28874
OG0006325	AT3G13980	Th2v01923, Th2v00950, Th2v26112
OG0006326	AT1G16570	Th2v23332
OG0006327	AT3G54470	Th2v06596, Th2v15295
OG0006328	AT5G15290	Th2v23103, Th2v24673
OG0006329	AT3G10260	Th2v14421, Th2v22249, Th2v20090
OG0006330	AT2G01110	Th2v00006
OG0006331	AT2G40120	Th2v22405, Th2v06713, Th2v15411
OG0006332	AT4G32950	Th2v01955, Th2v11073, Th2v29811
OG0006333	AT5G14230	Th2v06977, Th2v18182
OG0006334	AT2G37860	Th2v14595
OG0006335	AT1G13260	Th2v00192, Th2v28559
OG0006336	AT5G49650	Th2v28629
OG0006337	AT5G63140	Th2v14046
OG0006338	AT2G44500	Th2v07112, Th2v18065, Th2v12763, Th2v22450
OG0006339	AT5G56420	Th2v09520
OG0006340	AT2G28350	Th2v20022, Th2v08324, Th2v07609, Th2v07608, Th2v15682
OG0006341	AT2G33360	Th2v16087, Th2v08057, Th2v27091
OG0006342	AT3G60220	Th2v12773, Th2v22460
OG0006343	AT2G20300	Th2v01592, Th2v02230
OG0006344	AT4G29960	Th2v01696, Th2v02156, Th2v02178
OG0006345	AT3G17465	Th2v25223
OG0006346	AT4G15480	Th2v18238, Th2v26227
OG0006347	AT5G64530	Th2v11803, Th2v24195
OG0006348	AT5G15680	Th2v18627, Th2v23071
OG0006349	AT1G77405	Th2v28024
OG0006350	AT1G75500	Th2v04067, Th2v28075
OG0006351	AT4G30010	Th2v02155, Th2v02177, Th2v12465
OG0006352	AT2G46340	Th2v07190, Th2v12911, Th2v22606
OG0006353	AT3G60530	Th2v07072, Th2v18102, Th2v22492
OG0006354	AT1G30380	Th2v01385
OG0006355	AT5G02460	Th2v08926
OG0006356	AT3G12260	Th2v08682, Th2v17728
OG0006357	AT4G15770	Th2v26256
OG0006358	AT3G63430	Th2v13104, Th2v22812
OG0006359	AT4G10380	Th2v16865, Th2v04162, Th2v30956
OG0006360	AT1G20650	Th2v04108, Th2v05784, Th2v20880
OG0006361	AT1G77100	Th2v09847
OG0006362	AT1G19870	Th2v28062, Th2v05832, Th2v20927
OG0006363	AT3G18610	Th2v26400, Th2v27703, Th2v30690
OG0006364	AT1G47720	Th2v17242
OG0006365	AT5G27820	Th2v25449
OG0006366	AT1G08450	Th2v24485, Th2v07696, Th2v15600, Th2v28923
OG0006367	AT2G33410	Th2v16090
OG0006368	AT4G28340, AT4G28330	Th2v02257
OG0006369	AT1G05280	Th2v08121, Th2v27137
OG0006370	AT1G24625	Th2v03922, Th2v30135, Th2v28269
OG0006371	AT1G15350	Th2v05611, Th2v23439
OG0006372	AT2G34810	Th2v27870
OG0006374	AT4G23620	Th2v04556, Th2v16814
OG0006376	AT3G26350	Th2v06433, Th2v15132
OG0006377	AT2G33435	Th2v16092
OG0006378	AT5G49120	Th2v11392, Th2v09224
OG0006379	AT5G53210	Th2v09722
OG0006380	AT1G59750	Th2v05026
OG0006382	AT1G53300	Th2v26023, Th2v27405, Th2v23759, Th2v27404
OG0006383	AT1G65450	Th2v05244
OG0006384	AT5G08370	Th2v24133
OG0006385	AT5G01220	Th2v14491
OG0006386	AT3G54740	Th2v29170
OG0006387	AT1G20760	Th2v05779, Th2v20875
OG0006388	AT5G46720	Th2v07426, Th2v10651
OG0006389	AT1G27150	Th2v24988
OG0006390	AT1G80460	Th2v10215
OG0006391	AT1G65270	Th2v00622, Th2v06258, Th2v14959
OG0006392	AT2G38650	Th2v03758
OG0006393	AT5G41480	Th2v11014
OG0006394	AT5G05990	Th2v20251
OG0006395	AT5G57030	Th2v09555
OG0006396	AT1G31130	Th2v01419, Th2v27838
OG0006397	AT3G26890	Th2v06417, Th2v15116, Th2v00262, Th2v28502
OG0006398	AT2G43640	Th2v03325, Th2v06926
OG0006399	AT2G43140	Th2v06902
OG0006400	AT1G78590	Th2v05984, Th2v21111, Th2v23301
OG0006401	AT2G27180	Th2v24474
OG0006403	AT2G39670	Th2v06677, Th2v15376, Th2v22338
OG0006405	AT1G55270	Th2v19020, Th2v23652
OG0006406	AT3G57440	Th2v03465, Th2v13184
OG0006407	AT3G29034	Th2v05369
OG0006408	AT3G54220	Th2v03759, Th2v17033
OG0006409	AT3G53850	Th2v16935
OG0006410	AT3G62300	Th2v07267, Th2v12994, Th2v22696
OG0006411	AT5G20100	Th2v18040, Th2v19025
OG0006412	AT2G36000	Th2v06095, Th2v14804
OG0006413	AT5G38530	Th2v06308, Th2v15007
OG0006414	AT1G06150, AT2G31280	Th2v01167, Th2v15914
OG0006415	AT1G28560	Th2v01898, Th2v20349
OG0006416	AT3G51120	Th2v11664, Th2v13441
OG0006417	AT3G49390	Th2v21358, Th2v29469
OG0006418	AT5G64350	Th2v13710, Th2v24191
OG0006419	AT5G56970	Th2v09549
OG0006420	AT2G45730	Th2v17247
OG0006421	AT2G45690	Th2v12851, Th2v22545
OG0006422	AT3G61610	Th2v12903, Th2v22598
OG0006423	AT5G67120	Th2v14224, Th2v26658, Th2v13508
OG0006424	AT3G02910	Th2v18579, Th2v09097, Th2v22990
OG0006425	AT5G26742	Th2v11262, Th2v24626
OG0006426	AT2G41970	Th2v06843, Th2v15540
OG0006427	AT5G49450	Th2v09005, Th2v11372, Th2v29578
OG0006428	AT5G17870	Th2v03823, Th2v28867
OG0006429	AT4G26500	Th2v05514, Th2v21683
OG0006430	AT4G32820	Th2v11079, Th2v29816
OG0006431	AT5G66780	Th2v14199, Th2v26683
OG0006432	AT1G65320	Th2v00618, Th2v31515, Th2v05240, Th2v06264, Th2v14965
OG0006433	AT1G03140, AT1G54590	Th2v16250, Th2v27030
OG0006434	AT3G09960, AT3G09970	Th2v20048
OG0006435	AT1G27210	Th2v04009, Th2v24971
OG0006436	AT1G73210	Th2v09962, Th2v31120
OG0006437	AT5G24930	Th2v21390, Th2v29458
OG0006438	AT5G62810	Th2v14012, Th2v23984
OG0006439	AT5G55710	Th2v09466
OG0006440	AT1G08480	Th2v19722
OG0006441	AT2G24450	Th2v02084
OG0006442	AT2G42280	Th2v13212, Th2v25852, Th2v03478, Th2v06825, Th2v15523
OG0006443	AT3G42150, AT1G21930	Th2v04146
OG0006445	AT5G23530	Th2v24144, Th2v13784, Th2v11845
OG0006446	AT3G04910	Th2v11143, Th2v25411
OG0006447	AT3G06120	Th2v11289
OG0006448	AT1G75810	Th2v28088, Th2v30328
OG0006449	AT2G41680	Th2v06806, Th2v15504, Th2v13179, Th2v25822
OG0006450	AT4G35530	Th2v12173
OG0006451	AT2G38550	Th2v03746, Th2v17018, Th2v14543
OG0006452	AT5G20240	Th2v21500
OG0006453	AT5G45380	Th2v04229
OG0006454	AT1G31480	Th2v10529, Th2v27810
OG0006455	AT5G54390	Th2v20778, Th2v09645, Th2v05695, Th2v20777
OG0006456	AT5G15270	Th2v23104, Th2v24675
OG0006457	AT5G02260	Th2v08936
OG0006458	AT5G04600	Th2v14405, Th2v22233, Th2v20138
OG0006459	AT3G15860	Th2v23845, Th2v27319
OG0006460	AT3G14280	Th2v00923, Th2v23713, Th2v26075
OG0006461	AT2G28710	Th2v01078, Th2v07565
OG0006462	AT5G08280	Th2v11853, Th2v13813
OG0006463	AT5G06700	Th2v08699, Th2v17707
OG0006464	AT5G52660	Th2v26919, Th2v09740, Th2v28954
OG0006466	AT5G51740	Th2v09312, Th2v16914
OG0006467	AT3G11680	Th2v22156, Th2v20298
OG0006468	AT4G28040	Th2v09617
OG0006469	AT2G40475	Th2v06737, Th2v15436
OG0006470	AT1G77700	Th2v27995
OG0006471	AT5G25210	Th2v17465, Th2v30064
OG0006472	AT1G63910	Th2v04842, Th2v06058, Th2v14766
OG0006473	AT3G29400	Th2v00431
OG0006474	AT3G10915	Th2v08756, Th2v14389, Th2v22217
OG0006475	AT3G49790	Th2v13555
OG0006476	AT2G44080	Th2v06952, Th2v13393, Th2v26008
OG0006478	AT5G16760	Th2v09100, Th2v22988
OG0006479	AT3G22640	Th2v24596
OG0006480	AT1G69270	Th2v24920, Th2v30628
OG0006481	AT2G44910	Th2v07086, Th2v18089, Th2v12790, Th2v22477
OG0006482	AT5G46800	Th2v10646, Th2v27178
OG0006484	AT4G32860	Th2v01967
OG0006485	AT5G06240	Th2v08741, Th2v29560, Th2v20278
OG0006486	AT1G35720	Th2v04750
OG0006487	AT2G30500	Th2v08229
OG0006488	AT5G54300	Th2v05460
OG0006489	AT5G47620	Th2v10614, Th2v17098
OG0006490	AT4G37630	Th2v12337, Th2v02394, Th2v03119
OG0006491	AT5G23260	Th2v13809
OG0006492	AT4G34390	Th2v02851
OG0006493	AT4G27040	Th2v21621
OG0006494	AT5G23280	Th2v13794, Th2v24127
OG0006495	AT2G21160	Th2v02295, Th2v03280, Th2v12586
OG0006497	AT5G47890	Th2v03853
OG0006498	AT2G45680	Th2v07150, Th2v12850, Th2v22544
OG0006499	AT5G01230	Th2v08960
OG0006500	AT1G72220	Th2v27949
OG0006501	AT1G28260, AT5G02650	Th2v26476
OG0006502	AT4G36930	Th2v03082, Th2v12305
OG0006503	AT3G13990	Th2v00949, Th2v23684
OG0006504	AT2G36310	Th2v30312
OG0006505	AT1G15370	Th2v10247, Th2v23437
OG0006506	AT2G30200	Th2v10425, Th2v15825, Th2v08239
OG0006507	AT4G14145	Th2v19470
OG0006508	AT2G40780	Th2v28405, Th2v31448, Th2v06752, Th2v15451
OG0006509	AT2G23070	Th2v03116, Th2v12333
OG0006510	AT4G23750	Th2v04572, Th2v10863, Th2v16820
OG0006511	AT5G15190	Th2v23114, Th2v24684
OG0006512	AT1G70700	Th2v25066
OG0006513	AT4G00755	Th2v29271
OG0006514	AT3G63150	Th2v31213, Th2v25778, Th2v27609, Th2v25776, Th2v27608
OG0006515	AT3G11860, AT3G11890	Th2v08711
OG0006516	AT4G17440	Th2v10625, Th2v17046
OG0006517	AT3G22660	Th2v23508
OG0006518	AT1G06260	Th2v15893
OG0006519	AT1G29760	Th2v01345, Th2v26565
OG0006520	AT5G58140	Th2v28992, Th2v27232
OG0006521	AT1G06850	Th2v10447, Th2v15842
OG0006522	AT2G03430	Th2v28705
OG0006523	AT5G65640	Th2v13583, Th2v30239, Th2v31430
OG0006524	AT2G48030	Th2v13076, Th2v22784, Th2v07336, Th2v31340
OG0006525	AT5G19140	Th2v11296, Th2v18418
OG0006526	AT1G55260	Th2v00976, Th2v23655
OG0006527	AT1G56240, AT1G56250	Th2v00804
OG0006528	AT3G03720	Th2v18532
OG0006529	AT5G48720	Th2v18338
OG0006531	AT2G45280	Th2v12826, Th2v22514
OG0006532	AT1G34260	Th2v04696, Th2v04695, Th2v17142
OG0006533	AT4G00026	Th2v29249
OG0006534	AT2G33040	Th2v08102, Th2v16025
OG0006535	AT5G12050	Th2v17569
OG0006536	AT1G18860	Th2v05885, Th2v20990
OG0006537	AT2G18040	Th2v02997, Th2v21558, Th2v12221
OG0006538	AT2G29900	Th2v11875, Th2v24094
OG0006539	AT2G29040	Th2v07535, Th2v15743
OG0006540	AT5G56780	Th2v05543
OG0006541	AT4G37300	Th2v12320
OG0006542	AT5G35980	Th2v00645, Th2v05205
OG0006543	AT3G54360	Th2v06604, Th2v15304, Th2v30923
OG0006544	AT5G15120	Th2v23120, Th2v24690
OG0006545	AT1G80450	Th2v10216
OG0006546	AT1G66760	Th2v00517
OG0006547	AT2G39020	Th2v03542, Th2v29154
OG0006548	AT5G67470	Th2v14249, Th2v26628, Th2v11743, Th2v13540
OG0006549	AT4G33550	Th2v08437
OG0006550	AT4G39770	Th2v03198
OG0006551	AT5G39785	Th2v00387, Th2v06342, Th2v15040
OG0006552	AT3G14190	Th2v00934, Th2v00936
OG0006554	AT5G65170	Th2v11789, Th2v13642
OG0006555	AT1G48380	Th2v26326, Th2v27643
OG0006556	AT5G21160	Th2v18951, Th2v21493
OG0006557	AT3G55250	Th2v00335
OG0006558	AT3G17170	Th2v26318, Th2v27651
OG0006559	AT1G75510	Th2v28073
OG0006560	AT2G28870	Th2v07553, Th2v15731
OG0006562	AT2G45660	Th2v07148
OG0006563	AT4G17510	Th2v10630
OG0006564	AT5G37740	Th2v05285, Th2v30892
OG0006565	AT4G30810	Th2v02109
OG0006566	AT3G18190	Th2v26362, Th2v27748
OG0006567	AT3G15420, AT1G80745	Th2v00870
OG0006568	AT5G49510	Th2v09011, Th2v18379
OG0006569	AT2G39200	Th2v22279
OG0006571	AT2G16710, AT2G36260	Th2v02511
OG0006572	AT4G24220	Th2v03840, Th2v29575
OG0006573	AT5G03670	Th2v08849, Th2v08850, Th2v20050
OG0006574	AT2G46300	Th2v07188, Th2v12905, Th2v22600
OG0006575	AT1G61860	Th2v04941, Th2v20632
OG0006576	AT1G80360	Th2v23420
OG0006577	AT4G14280	Th2v19446
OG0006578	AT2G01880	Th2v05405, Th2v05407
OG0006579	AT1G04880	Th2v08082, Th2v16053
OG0006580	AT1G72790	Th2v09992, Th2v09993
OG0006582	AT3G61690	Th2v07198, Th2v12917, Th2v22612
OG0006584	AT5G13250	Th2v03870, Th2v28174
OG0006585	AT2G02170	Th2v06515, Th2v15213
OG0006586	AT2G35630	Th2v01433, Th2v27816
OG0006587	AT3G13600	Th2v17468, Th2v19060, Th2v26129, Th2v00979, Th2v23649
OG0006588	AT1G63855	Th2v04844
OG0006590	AT2G47190	Th2v07265, Th2v12992, Th2v22694
OG0006591	AT4G24550	Th2v29356
OG0006592	AT4G32980	Th2v01952
OG0006593	AT3G46560	Th2v17841, Th2v18780
OG0006594	AT5G25620	Th2v17630
OG0006595	AT5G51410	Th2v23492, Th2v26868
OG0006596	AT3G01460	Th2v24703
OG0006597	AT3G63170	Th2v07348
OG0006598	AT4G24015	Th2v10878, Th2v16834
OG0006599	AT1G73220	Th2v09960, Th2v30016
OG0006600	AT5G67390	Th2v11734, Th2v13537
OG0006601	AT3G45920	Th2v21893, Th2v23891, Th2v27434
OG0006605	AT2G14755	Th2v09096
OG0006608	AT1G30880	Th2v10510
OG0006609	AT1G04645	Th2v16072
OG0006610	AT3G13275	Th2v09495
OG0006612	AT5G05690	Th2v14373, Th2v22199, Th2v20226
OG0006613	AT4G37830	Th2v03138, Th2v02380, Th2v12747
OG0006614	AT4G14272, AT5G39645, AT4G14276, AT5G52605	Th2v24434
OG0006623	AT2G33400	Th2v16089, Th2v27087
OG0006624	AT1G08760	Th2v00726, Th2v05141
OG0006625	AT5G08420	Th2v08118, Th2v24141
OG0006626	AT1G68300	Th2v30133
OG0006627	AT1G79110	Th2v10104, Th2v05658, Th2v23329
OG0006628	AT3G16730	Th2v26287, Th2v27683
OG0006629	AT4G21680	Th2v04388
OG0006631	AT1G67560	Th2v29653, Th2v29655
OG0006632	AT1G33500	Th2v04656
OG0006633	AT4G01020, AT5G10370	Th2v30794
OG0006634	AT2G25740	Th2v02017
OG0006635	AT3G08650	Th2v14530, Th2v17026
OG0006637	AT5G51330	Th2v09340
OG0006638	AT3G12140	Th2v14310, Th2v22135, Th2v17716
OG0006639	AT3G28455	Th2v00360
OG0006640	AT5G55820	Th2v09472
OG0006641	AT1G09130	Th2v05109
OG0006642	AT4G39740	Th2v02345, Th2v03201
OG0006643	AT3G54810	Th2v06632, Th2v15331
OG0006645	AT5G25530	Th2v17638
OG0006647	AT5G48850	Th2v09240
OG0006649	AT4G39840	Th2v03192, Th2v12700
OG0006650	AT2G35450	Th2v01270
OG0006651	AT5G09790	Th2v11798
OG0006652	AT4G14420	Th2v19406, Th2v24577
OG0006653	AT3G63410	Th2v25763
OG0006654	AT2G22610	Th2v02370, Th2v03160
OG0006656	AT1G45207	Th2v29081, Th2v01228, Th2v10310
OG0006657	AT1G05370	Th2v08128, Th2v15989
OG0006658	AT3G16850	Th2v26280, Th2v27690
OG0006660	AT1G69325	Th2v25608
OG0006661	AT2G26430	Th2v08668
OG0006662	AT5G40420	Th2v00317
OG0006663	AT1G69050	Th2v03975, Th2v24905, Th2v25602
OG0006664	AT4G38900	Th2v02303, Th2v03271
OG0006665	AT1G53800	Th2v00917, Th2v23724
OG0006666	AT2G46810	Th2v12958, Th2v22656
OG0006667	AT5G19440	Th2v17536, Th2v19181
OG0006668	AT4G16430	Th2v06574, Th2v15274
OG0006669	AT3G54890	Th2v06642, Th2v15341
OG0006670	AT1G21580	Th2v09854
OG0006671	AT2G30590	Th2v01139, Th2v08221
OG0006672	AT2G32850	Th2v16042, Th2v27119
OG0006673	AT3G07440, AT5G48530	Th2v11463
OG0006674	AT5G15530	Th2v18614, Th2v24658
OG0006675	AT3G10920	Th2v08757
OG0006676	AT3G56990	Th2v18228
OG0006677	AT2G45400	Th2v07046, Th2v18126
OG0006678	AT5G50700, AT5G50600	Th2v09388
OG0006679	AT3G61510	Th2v27504, Th2v12887, Th2v22583
OG0006680	AT2G33490	Th2v10338, Th2v26459
OG0006681	AT5G24070	Th2v23916
OG0006682	AT1G52980	Th2v23805, Th2v27357, Th2v22002
OG0006683	AT3G25905	Th2v00204, Th2v06450, Th2v15148
OG0006684	AT4G14330	Th2v19433
OG0006685	AT4G19170	Th2v16588
OG0006686	AT4G22780	Th2v04491, Th2v10831
OG0006687	AT3G54320	Th2v06607, Th2v15307, Th2v30718
OG0006688	AT4G17210	Th2v17105
OG0006689	AT1G71900	Th2v27921
OG0006690	AT3G58630	Th2v13268, Th2v25901
OG0006691	AT4G20190	Th2v04300, Th2v10744
OG0006692	AT3G07970	Th2v11550, Th2v08615
OG0006693	AT2G40220	Th2v06720, Th2v15417
OG0006695	AT1G18520	Th2v09889
OG0006696	AT4G33440	Th2v02662, Th2v11961
OG0006697	AT4G01650	Th2v16348, Th2v27002
OG0006698	AT1G09460	Th2v06168, Th2v14873, Th2v24350
OG0006699	AT3G09010	Th2v08961, Th2v14495
OG0006700	AT3G22830	Th2v18678
OG0006701	AT2G29540	Th2v07495, Th2v15776
OG0006702	AT1G60420	Th2v06105, Th2v14814
OG0006703	AT5G19260	Th2v11305, Th2v18421
OG0006704	AT5G13790	Th2v11583, Th2v08629
OG0006705	AT1G32790	Th2v10897, Th2v04616, Th2v16847
OG0006706	AT1G43890	Th2v17203, Th2v30779
OG0006707	AT3G14430	Th2v00909, Th2v26067
OG0006708	AT1G80770	Th2v02652
OG0006709	AT5G01380	Th2v14500
