Orthogroup	Thellungiella_parvula	Arabidopsis_lyrata
OG0004338	Sp6g21400.1	scaffold_802606.1
OG0004340	Sp2g14770.1	fgenesh1_pm.C_scaffold_5000237
OG0004340	Sp2g14760.1	scaffold_500409.1, Al_scaffold_0005_352
OG0004345	Sp4g23980.1	fgenesh2_kg.4__2315__AT5G24640.1
OG0004351	Sp3g08780.1, Sp6g38290.1	fgenesh2_kg.6__361__AT5G04460.1
OG0004352	Sp4g26730.1	scaffold_403392.1
OG0004353	Sp7g12660.1	scaffold_703151.1
OG0004354	Sp1g17160.1	fgenesh1_pm.C_scaffold_1001643
OG0004355	Sp2g12920.1	fgenesh2_kg.5__57__AT2G01470.1, Al_scaffold_0008_1432
OG0004356	Sp6g15420.1	Al_scaffold_0008_1717, Al_scaffold_0008_1716
OG0004357	Sp3g13210.1	fgenesh2_kg.3__1628__AT3G15010.2
OG0004357	Sp1g39820.1	scaffold_105150.1
OG0004360	Sp5g07900.1	fgenesh1_pm.C_scaffold_5001530, Al_scaffold_0005_2357
OG0004361	Sp5g22380.1, Sp6g04870.1, Sp5g22360.1	scaffold_704064.1, fgenesh2_kg.7__1096__AT4G30870.1
OG0004362	Sp3g19910.1	fgenesh2_kg.3__2425__AT3G22090.1, Al_scaffold_0896_1, fgenesh1_pm.C_scaffold_2001160
OG0004363	Sp7g16090.1	fgenesh2_kg.7__2500__AT4G18030.1
OG0004364	Sp1g38950.1	scaffold_105427.1, fgenesh2_kg.1__4460__AT1G53720.1
OG0004365	Sp5g13950.1	scaffold_501742.1
OG0004367	Sp1g39040.1	fgenesh2_kg.1__4322__AT1G52420.1
OG0004367	Sp3g14260.1	scaffold_301862.1
OG0004368	Sp2g03350.1	fgenesh2_kg.1__1198__AT1G11100.1, fgenesh2_kg.2__341__AT1G61140.1
OG0004370	SpUn0004_0270.1	Al_scaffold_0564_2, Al_scaffold_0004_815, Al_scaffold_0003_3093, Al_scaffold_0005_1182, Al_scaffold_0004_854, scaffold_801189.1, Al_scaffold_0002_914, Al_scaffold_0003_593, Al_scaffold_0298_2, fgenesh1_pg.C_scaffold_9000137, Al_scaffold_0564_1, Al_scaffold_0004_984
OG0004371	Sp4g29380.1, Sp7g11940.1	fgenesh2_kg.6__2799__AT2G47430.1, scaffold_502024.1, fgenesh2_kg.4__2980__AT2G47430.1
OG0004372	Sp2g24490.1	fgenesh2_kg.8__2097__AT5G61260.1
OG0004373	Sp3g17780.1	fgenesh2_kg.3__2193__AT3G19760.1
OG0004374	Sp6g23190.1	fgenesh2_kg.6__2181__AT5G22000.1
OG0004375	Sp3g14850.1	scaffold_301933.1
OG0004376	Sp2g23660.1	fgenesh1_pg.C_scaffold_6001965
OG0004377	Sp6g06010.1	fgenesh2_kg.6__3105__AT4G11420.1
OG0004378	Sp1g25080.1	fgenesh1_pg.C_scaffold_1002584
OG0004379	Sp2g18660.1	fgenesh2_kg.8__698__AT5G48300.1
OG0004379	Sp3g23080.1	scaffold_303188.1
OG0004380	SpUn1032_0010.1	fgenesh2_kg.4__2350__AT2G42040.1
OG0004381	Sp5g08050.1	scaffold_502546.1
OG0004382	SpUn0781_0010.1, Sp1g00140.1	fgenesh2_kg.6__2926__AT4G09320.1
OG0004383	Sp4g01440.1	fgenesh2_kg.4__163__AT2G22420.1
OG0004384	Sp2g14860.1	scaffold_500427.1
OG0004385	Sp2g21110.1	fgenesh2_kg.6__2656__AT5G26920.1
OG0004386	Sp5g31580.1	fgenesh2_kg.2__1929__AT1G76420.1
OG0004387	Sp4g01130.1	fgenesh2_kg.4__133__AT2G22100.1
OG0004389	Sp5g24200.1	fgenesh2_kg.2__1170__AT1G69160.1
OG0004391	Sp2g12060.1	fgenesh2_kg.8__65__AT5G47330.1
OG0004392	Sp1g23410.1	fgenesh2_kg.1__2863__AT1G24360.1, fgenesh2_kg.6__2740__AT1G24360.1
OG0004393	Sp5g22290.1	scaffold_201543.1
OG0004394	Sp1g29520.1	fgenesh2_kg.1__3539__AT1G34300.1
OG0004395	Sp6g20920.1	fgenesh2_kg.8__1867__AT5G59050.1
OG0004396	Sp2g16690.1	fgenesh1_pg.C_scaffold_5000521
OG0004397	Sp5g24810.1, Sp3g28750.1	fgenesh1_pg.C_scaffold_7002664, Al_scaffold_0002_1627
OG0004399	Sp6g06570.1	scaffold_603462.1
OG0004400	Sp5g04660.1	Al_scaffold_0002_2678, Al_scaffold_0005_2722
OG0004402	Sp6g01160.1	fgenesh2_kg.6__3604__AT4G00990.1
OG0004403	Sp6g05590.1	Al_scaffold_0006_3383
OG0004404	Sp5g02510.1	scaffold_503309.1, Al_scaffold_0002_1021
OG0004405	Sp5g35040.1	fgenesh2_kg.2__2306__AT1G80710.1
OG0004406	Sp2g19380.1	Al_scaffold_0008_1192, fgenesh1_pm.C_scaffold_8000672
OG0004407	Sp4g17350.1	fgenesh2_kg.4__1537__AT2G35120.1
OG0004408	Sp4g10660.1	fgenesh2_kg.4__781__AT2G27820.1
OG0004409	Sp6g37750.1	fgenesh2_kg.6__433__AT5G05080.1
OG0004410	Sp6g19480.1	fgenesh2_kg.8__1692__AT5G57800.1
OG0004411	Sp4g14650.1	fgenesh2_kg.4__1214__AT2G32260.1
OG0004412	Sp6g03680.1	fgenesh2_kg.7__2207__AT4G21130.1, fgenesh2_kg.6__3320__AT4G05410.1
OG0004413	Sp3g20640.1	scaffold_302751.1, scaffold_39600002.1
OG0004415	Sp4g10460.1	scaffold_401264.1
OG0004416	Sp5g00990.1	fgenesh2_kg.5__2740__AT3G62420.1
OG0004417	Sp3g18680.1	fgenesh1_pg.C_scaffold_3001981
OG0004418	Sp4g13720.1	fgenesh2_kg.4__1110__AT2G31230.1
OG0004419	Sp6g32990.1	scaffold_601058.1
OG0004419	Sp2g28520.1	fgenesh1_pm.C_scaffold_8002103
OG0004420	Sp3g32570.1	Al_scaffold_0003_3912
OG0004421	Sp5g02030.1	fgenesh2_kg.5__2602__AT3G61370.1, fgenesh2_kg.1__3840__AT3G61370.1
OG0004422	Sp4g27170.1	fgenesh2_kg.4__2150__AT2G40360.1, Al_scaffold_0003_3187
OG0004423	Sp2g09160.1	scaffold_800576.1
OG0004423	Sp7g19050.1	fgenesh2_kg.7__2222__AT4G20980.1
OG0004424	Sp2g11340.1	Al_scaffold_0008_164
OG0004424	Sp4g16970.1	fgenesh2_kg.4__1493__AT2G34690.1
OG0004425	Sp1g05610.1	scaffold_100685.1
OG0004426	Sp1g07010.1	fgenesh2_kg.1__852__AT1G08370.1
OG0004427	Sp4g22570.1	fgenesh2_kg.4__2128__AT2G40230.1
OG0004428	Sp6g29290.1	fgenesh2_kg.6__1454__AT5G14750.1
OG0004429	Sp7g15580.1	scaffold_702579.1
OG0004430	Sp3g33730.1	fgenesh2_kg.3__3580__AT2G20510.1, fgenesh2_kg.4__1643__AT2G36070.1
OG0004431	Sp4g19800.1	Al_scaffold_0004_2269
OG0004432	Sp1g24360.1	scaffold_103146.1, Al_scaffold_0001_2899
OG0004433	Sp7g02360.1	fgenesh2_kg.7__3458__AT5G39650.1
OG0004434	Sp5g16350.1	fgenesh2_kg.5__877__AT3G44860.1
OG0004435	Sp2g15220.1	fgenesh2_kg.5__354__AT3G26000.1
OG0004436	Sp4g22670.1	fgenesh2_kg.4__2147__AT2G40330.1
OG0004437	Sp6g34100.1	scaffold_600916.1
OG0004438	Sp1g13250.1	fgenesh1_pm.C_scaffold_1001259, fgenesh2_kg.1__2125__AT1G14810.1
OG0004439	Sp7g27340.1	fgenesh2_kg.7__1243__AT4G29470.1, fgenesh2_kg.7__1244__AT4G29460.1
OG0004440	Sp1g25740.1	fgenesh2_kg.1__3149__AT1G29850.1
OG0004441	Sp4g18800.1	scaffold_402268.1, fgenesh2_kg.4__1689__AT2G36490.1
OG0004442	Sp2g22100.1	Al_scaffold_0006_2450, fgenesh2_kg.2__784__AT1G65550.1
OG0004443	Sp5g17170.1	fgenesh2_kg.5__831__AT3G44170.1
OG0004444	Sp4g28200.1	fgenesh2_kg.4__2819__AT2G46140.1
OG0004445	Sp4g26270.1	fgenesh1_pm.C_scaffold_4002142
OG0004446	Sp5g02770.1	fgenesh2_kg.5__2511__AT3G60460.1
OG0004447	Sp4g24200.1	scaffold_403039.1
OG0004448	Sp4g07910.1	fgenesh1_pg.C_scaffold_4000679, fgenesh2_kg.4__576__AT2G26560.1
OG0004449	Sp5g00510.1	fgenesh2_kg.5__2797__AT3G63010.1
OG0004450	Sp1g06640.1	fgenesh2_kg.1__806__AT1G08010.1
OG0004452	Sp4g13000.1	scaffold_401535.1
OG0004453	Sp2g21850.1	Al_scaffold_0006_2494, scaffold_602695.1
OG0004454	Sp2g11510.1, SpUn0036_0100.1	fgenesh2_kg.8__125__AT5G46700.1
OG0004455	Sp3g15350.1	scaffold_302012.1
OG0004456	Sp4g10790.1	scaffold_401224.1, fgenesh2_kg.4__772__AT2G27960.1
OG0004457	Sp5g05310.1	fgenesh2_kg.5__2163__AT3G57290.1
OG0004458	Sp1g34050.1, Sp6g01860.1	fgenesh1_pg.C_scaffold_6003237, scaffold_604090.1, Al_scaffold_0006_3808
OG0004459	Sp6g34790.1	fgenesh2_kg.6__785__AT5G08160.1
OG0004460	Sp3g06800.1	scaffold_300929.1
OG0004461	Sp1g30440.1	scaffold_104027.1, fgenesh2_kg.1__3650__AT1G35730.1
OG0004462	Sp4g21650.1, SpUn0018_0020.1	scaffold_501617.1, scaffold_402678.1
OG0004463	Sp1g25640.1	fgenesh2_kg.1__3132__AT1G29750.2
OG0004464	Sp7g26510.1	fgenesh2_kg.7__1345__AT4G28530.1
OG0004465	Sp1g08230.1	fgenesh2_kg.1__1014__AT1G09620.1, fgenesh1_pm.C_scaffold_1003199
OG0004466	Sp1g08630.1	scaffold_101044.1, scaffold_101050.1
OG0004467	Sp1g03290.1	scaffold_100406.1
OG0004467	Sp4g15790.1	scaffold_401920.1
OG0004468	Sp1g35000.1	scaffold_104409.1, scaffold_104403.1
OG0004469	Sp5g01690.1	fgenesh2_kg.5__2651__AT3G61700.2
OG0004469	Sp4g28440.1	fgenesh2_kg.4__2856__AT2G46420.1
OG0004470	Sp2g24350.1	Al_scaffold_0299_1, scaffold_802746.1, scaffold_802745.1
OG0004471	Sp2g08920.1	fgenesh2_kg.8__403__AT5G44090.1
OG0004472	Sp4g19010.1	scaffold_402297.1, fgenesh2_kg.1__4196__AT2G36730.1, fgenesh2_kg.3__1517__AT2G36730.1, scaffold_101098.1
OG0004473	Sp7g11490.1	fgenesh1_pg.C_scaffold_7002615
OG0004473	Sp3g21680.1	scaffold_302910.1
OG0004474	Sp5g28690.1	fgenesh2_kg.2__1616__AT1G73530.1
OG0004475	Sp7g28380.1	fgenesh1_pg.C_scaffold_7000932
OG0004476	Sp7g28300.1	Al_scaffold_0007_1061
OG0004477	Sp3g05400.1	fgenesh2_kg.3__653__AT3G06470.1
OG0004478	Sp6g21860.1	Al_scaffold_0008_2524, fgenesh2_kg.5__934__AT3G45590.1
OG0004479	Sp1g19540.1	Al_scaffold_0001_2309
OG0004480	Sp2g09400.1, Sp2g09390.1	scaffold_800528.1, fgenesh1_pm.C_scaffold_8000278
OG0004481	Sp1g14810.1	fgenesh2_kg.1__1817__AT1G16670.1
OG0004482	Sp5g31470.1	fgenesh2_kg.2__1917__AT1G76340.1
OG0004484	Sp2g01790.1	scaffold_501112.1, fgenesh1_pg.C_scaffold_5000859, fgenesh2_kg.5__800__AT3G43670.1, fgenesh2_kg.2__200__AT1G62810.1
OG0004486	Sp4g23370.1	fgenesh1_pm.C_scaffold_4001835, fgenesh2_kg.4__2216__AT2G40925.1, fgenesh2_kg.4__2214__AT2G40920.1
OG0004487	Sp5g24870.1, Sp2g00570.1	Al_scaffold_0002_1636
OG0004488	Sp6g21690.1	fgenesh2_kg.8__1957__AT5G60030.1
OG0004489	Sp5g29940.1	fgenesh1_pm.C_scaffold_2001449
OG0004489	Sp1g13820.1	fgenesh1_pg.C_scaffold_1001397
OG0004490	Sp5g27340.1	fgenesh1_pm.C_scaffold_2001227
OG0004491	Sp1g06517.1	fgenesh2_kg.1__769__AT1G07830.1
OG0004492	Sp7g05260.1, Sp7g05240.1, Sp2g01280.1	fgenesh1_pm.C_scaffold_7002486
OG0004493	Sp2g13570.1	fgenesh2_kg.5__132__AT2G02160.1
OG0004494	Sp3g16320.1	fgenesh2_kg.3__2017__AT3G18210.1
OG0004495	Sp5g09870.1	scaffold_502313.1
OG0004496	Sp2g18850.1	scaffold_801148.1
OG0004497	Sp7g20420.1	fgenesh2_kg.7__2070__AT4G22300.1
OG0004498	Sp3g00410.1	fgenesh2_kg.3__52__AT3G01640.1
OG0004499	Sp4g27010.1	fgenesh2_kg.4__2682__AT2G44930.1
OG0004500	Sp5g29720.1	scaffold_202397.1, fgenesh2_kg.2__1722__AT1G74540.1
OG0004501	Sp3g00290.1	fgenesh2_kg.3__39__AT3G01770.1
OG0004501	Sp6g29760.1	fgenesh2_kg.6__1398__AT5G14270.1
OG0004502	Sp6g40890.1, Sp7g05130.1	fgenesh2_kg.6__43__AT4G00020.1
OG0004503	Sp6g26880.1	scaffold_601785.1
OG0004504	Sp7g32940.1	fgenesh2_kg.7__565__AT4G35180.1
OG0004505	Sp1g19190.1	fgenesh1_pm.C_scaffold_2001679
OG0004506	Sp2g25400.1, Sp6g35700.1	fgenesh2_kg.8__2213__AT5G62200.1
OG0004507	Sp3g21210.1	fgenesh2_kg.3__2565__AT3G23550.1, fgenesh2_kg.3__2566__AT3G23560.1
OG0004508	Sp1g10550.1	fgenesh2_kg.4__1242__AT2G32560.1, scaffold_400992.1
OG0004509	Sp7g24940.1	fgenesh2_kg.7__1530__AT4G26990.1
OG0004511	Sp5g23860.1	fgenesh1_pm.C_scaffold_2000927
OG0004511	Sp1g22570.1	fgenesh1_pm.C_scaffold_1002149
OG0004513	Sp6g19940.1	fgenesh2_kg.8__1755__AT5G58290.1
OG0004514	Sp7g36680.1	fgenesh2_kg.7__118__AT4G39140.3
OG0004515	Sp1g14300.1	Al_scaffold_0001_1661
OG0004515	Sp5g34880.1	fgenesh1_pg.C_scaffold_1001793
OG0004516	Sp7g21240.1	Al_scaffold_0007_1827
OG0004517	Sp3g13770.1	fgenesh2_kg.3__1699__AT3G15518.1
OG0004518	Sp4g15710.1	fgenesh2_kg.4__1342__AT2G33390.1
OG0004519	Sp7g30330.1	fgenesh2_kg.7__897__AT4G32551.1
OG0004520	Sp6g07129.1, Sp6g07131.1, Sp7g30760.1	fgenesh2_kg.7__825__AT4G33000.2
OG0004521	Sp6g19840.1	fgenesh2_kg.8__1739__AT5G58160.1
OG0004522	Sp5g32340.1	fgenesh2_kg.2__2009__AT1G77160.1
OG0004523	Sp3g13580.1	fgenesh2_kg.3__1672__AT3G15352.1
OG0004524	Sp5g24280.1	fgenesh2_kg.2__1179__AT1G69230.1
OG0004525	Sp4g24750.1	scaffold_403135.1
OG0004527	Sp1g22770.1	fgenesh2_kg.1__2783__AT1G25440.1
OG0004528	Sp6g31080.1	scaffold_601291.1
OG0004529	Sp5g33920.1	fgenesh2_kg.2__2185__AT1G78900.1
OG0004530	Sp6g08080.1	scaffold_603272.1
OG0004531	Sp1g19490.1	fgenesh2_kg.1__2386__AT1G21970.1, fgenesh2_kg.264__1__AT1G21970.1, scaffold_102467.1, scaffold_102469.1
OG0004532	Sp1g21650.1	fgenesh2_kg.1__2645__AT1G27120.1
OG0004533	Sp1g18590.1	fgenesh2_kg.2__1935__AT1G76480.1
OG0004534	Sp1g19200.1	fgenesh2_kg.1__2358__AT1G21660.1
OG0004535	Sp2g19820.1, SpUn0021_0030.1	scaffold_102544.1, scaffold_801332.1
OG0004536	Sp5g04020.1	fgenesh2_kg.5__2335__AT3G58840.2
OG0004537	Sp6g23630.1	scaffold_602187.1
OG0004538	Sp7g35670.1	fgenesh1_pm.C_scaffold_2000518, fgenesh1_pg.C_scaffold_7000209
OG0004539	Sp4g25960.1, Sp4g25970.1	scaffold_403293.1
OG0004540	Sp1g33670.1, Sp1g33680.1	fgenesh2_kg.1__3760__AT1G44180.1, fgenesh2_kg.1__3776__AT1G44820.1
OG0004541	Sp2g26090.1	fgenesh2_kg.8__2296__AT3G28956.1, Al_scaffold_0003_3766
OG0004542	Sp5g27110.1	scaffold_202124.1
OG0004543	Sp5g13600.1, Sp5g13610.1	scaffold_501791.1, fgenesh2_kg.5__1196__AT3G48430.1
OG0004544	Sp2g24920.1, Sp2g27570.1	fgenesh2_kg.8__2155__AT5G61720.1, scaffold_802822.1
OG0004546	Sp1g27510.1	fgenesh2_kg.1__3323__AT1G31812.1
OG0004547	Sp1g27590.1, Sp5g21510.1	scaffold_304287.1, Al_scaffold_0001_3247
OG0004548	Sp7g31720.1, Sp7g31710.1	fgenesh2_kg.7__708__AT4G33980.1
OG0004549	Sp5g02000.1, Sp5g02010.1	Al_scaffold_0005_3068
OG0004550	Sp1g17480.1	fgenesh2_kg.1__2142__AT1G19640.1
OG0004551	Sp1g37700.1, Sp3g18590.1	fgenesh2_kg.3__2284__AT3G20570.1
OG0004552	Sp5g19300.1	fgenesh2_kg.2__631__AT1G64980.1
OG0004553	Sp6g34820.1, Sp2g11140.1	fgenesh2_kg.8__160__AT5G46290.1
OG0004554	Sp6g00100.1	fgenesh2_kg.6__3697__AT4G00040.1
OG0004555	Sp7g28650.1	fgenesh2_kg.7__1109__AT4G30780.1
OG0004556	Sp2g10680.1	fgenesh2_kg.8__222__AT5G45770.1
OG0004556	Sp7g17460.1	scaffold_702544.1
OG0004557	Sp2g03540.1	Al_scaffold_0002_441, scaffold_200506.1
OG0004559	Sp5g15580.1	scaffold_501486.1
OG0004559	Sp6g21550.1	Al_scaffold_0008_2483, fgenesh1_pm.C_scaffold_215000001
OG0004560	Sp3g10950.1	fgenesh2_kg.3__1342__AT3G12780.1
OG0004560	Sp1g41830.1	fgenesh2_kg.1__4643__AT1G56190.1
OG0004561	Sp3g28700.1	fgenesh1_pg.C_scaffold_3002893, fgenesh2_kg.3__3110__AT2G15430.1
OG0004563	Sp4g01520.1	fgenesh2_kg.4__171__AT2G22500.1
OG0004564	Sp7g34140.1	fgenesh2_kg.7__420__AT4G36470.1
OG0004565	Sp7g05920.1	fgenesh2_kg.7__3095__AT5G36250.1
OG0004566	Sp6g31990.1	scaffold_601185.1
OG0004567	Sp3g19760.1	fgenesh2_kg.3__2402__AT3G21760.1
OG0004568	Sp7g34110.1	fgenesh1_pg.C_scaffold_7000367
OG0004568	Sp3g31600.1	fgenesh1_pm.C_scaffold_3002785
OG0004569	Sp6g15570.1	Al_scaffold_0008_1736
OG0004570	Sp7g22830.1	fgenesh2_kg.7__1785__AT4G24840.1
OG0004571	Sp6g29970.1	scaffold_601416.1
OG0004572	Sp7g20700.1	fgenesh1_pg.C_scaffold_7001672
OG0004573	Sp6g30770.1	fgenesh2_kg.6__1272__AT5G13220.1
OG0004574	Sp5g27030.1	fgenesh2_kg.2__1456__AT1G71960.1
OG0004575	Sp5g23140.1, Sp1g23020.1	fgenesh2_kg.2__1035__AT1G68140.1
OG0004576	Sp7g18750.1	fgenesh2_kg.7__2262__AT4G20380.4
OG0004577	Sp5g24470.1	fgenesh2_kg.2__1200__AT1G69420.1
OG0004578	Sp3g07610.1	scaffold_301043.1
OG0004579	Sp3g18760.1	scaffold_302478.1
OG0004580	Sp7g32190.1	scaffold_700692.1
OG0004581	Sp3g02010.1	scaffold_300245.1
OG0004582	Sp4g22310.1	fgenesh2_kg.4__2100__AT2G40000.1
OG0004583	Sp3g32530.1, Sp3g32540.1	fgenesh2_kg.3__3521__AT2G19130.1
OG0004585	Sp3g19700.1	fgenesh2_kg.3__2391__AT3G21690.1
OG0004586	Sp2g17090.1	fgenesh2_kg.5__594__AT3G28180.1
OG0004587	Sp4g15340.1	fgenesh1_pg.C_scaffold_4001397, fgenesh2_kg.120__2__AT2G32980.1, Al_scaffold_0007_3376, fgenesh1_pg.C_scaffold_7002897
OG0004588	Sp1g39680.1, Sp3g13510.1	scaffold_301775.1
OG0004589	Sp6g04160.1	fgenesh1_pg.C_scaffold_6002991
OG0004590	Sp5g07040.1	fgenesh2_kg.5__1962__AT3G55430.1
OG0004591	Sp6g15080.1	fgenesh2_kg.1__2490__AT1G22885.1, fgenesh2_kg.8__345__AT5G44568.1, fgenesh2_kg.1__2491__AT1G22890.1
OG0004592	Sp1g39790.1	fgenesh2_kg.1__4400__AT1G53210.1
OG0004593	Sp3g16450.1	fgenesh2_kg.3__2031__AT3G18310.1, scaffold_401621.1
OG0004594	Sp1g07930.1	fgenesh2_kg.1__977__AT1G09320.1
OG0004596	Sp2g05550.1	fgenesh1_pm.C_scaffold_2000425
OG0004596	Sp2g05520.1	scaffold_200743.1
OG0004598	Sp5g15790.1, Sp5g15760.1	fgenesh1_pm.C_scaffold_5000785, fgenesh2_kg.5__947__AT3G45750.1
OG0004599	Sp4g27020.1	fgenesh2_kg.4__2683__AT2G44940.1
OG0004600	Sp5g27900.1	fgenesh2_kg.2__1553__AT1G72880.1, Al_scaffold_0002_1979
OG0004601	Sp2g21350.1	fgenesh2_kg.1__3885__AT5G26710.1, fgenesh2_kg.6__2625__AT5G26710.1
OG0004602	Sp2g18970.1, Sp3g06200.1	fgenesh2_kg.3__747__AT3G07270.1
OG0004603	Sp7g28660.1	fgenesh2_kg.7__1108__AT4G30790.1
OG0004604	Sp4g25390.1	fgenesh2_kg.4__2495__AT2G43280.1
OG0004605	Sp4g23900.1	Al_scaffold_0004_2791
OG0004606	Sp4g12800.1	fgenesh2_kg.4__992__AT2G30210.1
OG0004607	Sp6g31850.1	scaffold_601203.1
OG0004608	Sp5g34920.1	fgenesh2_kg.2__2291__AT1G80840.1
OG0004609	Sp4g28670.1	fgenesh1_pg.C_scaffold_4002814
OG0004610	Sp7g12770.1	scaffold_703137.1
OG0004611	Sp1g14080.1	scaffold_101766.1
OG0004612	Sp5g01940.1	fgenesh2_kg.5__2615__AT3G61460.1
OG0004614	Sp4g12870.1	fgenesh1_pm.C_scaffold_4000841
OG0004615	Sp1g16910.1	fgenesh2_kg.1__2072__AT1G18950.1
OG0004616	Sp5g05550.1	scaffold_502862.1
OG0004620	Sp6g37300.1, Sp4g12860.1	Al_scaffold_0004_1455
OG0004621	Sp4g14360.1	fgenesh2_kg.4__1186__AT2G31980.1, fgenesh2_kg.80__6__AT2G31980.1
OG0004622	Sp1g23370.1	fgenesh2_kg.1__2859__AT1G24430.1
OG0004623	Sp6g38820.1	scaffold_600324.1
OG0004624	Sp6g33490.1	fgenesh2_kg.6__951__AT5G09920.1
OG0004625	Sp6g21990.1	fgenesh2_kg.8__2000__AT5G60400.3
OG0004626	Sp1g12410.1	fgenesh1_pm.C_scaffold_1001188
OG0004627	Sp3g13760.1	fgenesh2_kg.3__1698__AT3G15510.1
OG0004628	Sp1g35280.1, Sp1g35275.1	fgenesh2_kg.1__3921__AT1G48320.1
OG0004629	Sp3g31370.1	scaffold_304120.1
OG0004630	Sp2g20500.1, Sp2g20470.1	Al_scaffold_0006_2717
OG0004631	Sp5g28260.1	scaffold_202265.1
OG0004632	Sp6g19670.1	fgenesh1_pm.C_scaffold_8001433
OG0004633	Sp4g23060.1	Al_scaffold_0004_2305, fgenesh1_pm.C_scaffold_4001818
OG0004634	Sp6g05370.1	fgenesh2_kg.6__3164__AT4G12130.1
OG0004635	Sp5g08400.1	fgenesh2_kg.5__1786__AT3G54000.1
OG0004636	Sp1g18710.1	scaffold_102352.1
OG0004639	Sp3g23070.1	scaffold_303375.1, fgenesh1_pm.C_scaffold_3002359
OG0004640	Sp6g39840.1	fgenesh2_kg.6__180__AT5G02730.1
OG0004641	Sp6g00320.1	fgenesh2_kg.6__3677__AT4G00231.1
OG0004642	Sp1g23650.1	scaffold_103059.1
OG0004645	Sp6g11000.1	scaffold_801371.1, scaffold_801372.1
OG0004652	Sp3g20470.1	scaffold_302726.1
OG0004653	Sp7g26860.1, Sp7g26855.1	fgenesh2_kg.7__1304__AT4G28860.2, fgenesh2_kg.7__1302__AT4G28880.1
OG0004654	Sp6g39410.1, Sp6g38950.1	fgenesh2_kg.6__238__AT5G03330.1
OG0004655	Sp6g39800.1	fgenesh2_kg.6__187__AT5G02780.1
OG0004656	Sp6g05470.1	fgenesh2_kg.6__3157__AT4G12040.2
OG0004657	Sp4g22520.1	scaffold_402793.1
OG0004658	Sp6g28850.1	fgenesh2_kg.6__1501__AT5G15220.1
OG0004659	Sp6g22410.1	fgenesh2_kg.6__2285__AT5G22970.1, scaffold_802638.1
OG0004660	Sp1g16940.1	scaffold_102120.1, fgenesh2_kg.1__2075__AT1G18980.1
OG0004661	Sp2g22560.1	scaffold_602594.1
OG0004662	Sp4g20290.1	scaffold_402488.1
OG0004663	Sp3g22190.1	scaffold_302989.1
OG0004664	Sp1g02590.1	fgenesh2_kg.1__299__AT1G03730.1
OG0004664	Sp6g03590.1	fgenesh2_kg.6__3335__AT4G03600.1
OG0004665	Sp1g08160.1	Al_scaffold_0001_916
OG0004666	Sp6g25130.1	scaffold_602020.1
OG0004667	Sp6g17740.1	fgenesh1_pg.C_scaffold_236000001, fgenesh2_kg.8__1484__AT5G55860.1
OG0004668	Sp4g25840.1	fgenesh2_kg.4__2554__AT2G43770.1
OG0004669	Sp6g24820.1	fgenesh2_kg.6__1984__AT5G19560.1
OG0004672	Sp5g26470.1	fgenesh2_kg.2__1389__AT1G71270.1
OG0004673	Sp1g21540.1	fgenesh2_kg.1__2636__AT1G27240.1, fgenesh1_pm.C_scaffold_1002045, scaffold_102625.1, Al_scaffold_0001_2543
OG0004674	Sp6g18850.1	fgenesh2_kg.8__1622__AT5G57120.1
OG0004676	Sp4g27710.1	fgenesh2_kg.4__2763__AT2G45670.1
OG0004677	Sp4g25730.1	fgenesh2_kg.4__2534__AT2G43630.1
OG0004678	Sp5g00370.1	fgenesh2_kg.5__2810__AT3G63160.1
OG0004678	Sp5g09880.1	fgenesh2_kg.5__1601__AT3G52420.1
OG0004679	Sp2g15120.1	scaffold_500468.1
OG0004680	Sp3g17680.1	fgenesh2_kg.3__2182__AT3G19640.1
OG0004681	Sp5g12850.1	fgenesh2_kg.5__1272__AT3G49220.1
OG0004683	Sp5g32320.1	fgenesh2_kg.2__2007__AT1G77140.1
OG0004684	Sp3g08770.1, Sp6g38310.1	fgenesh2_kg.6__359__AT5G04430.2
OG0004685	Sp2g13980.1	fgenesh2_kg.5__196__AT2G02950.1
OG0004686	Sp6g38190.1	scaffold_600403.1
OG0004687	Sp1g30670.1	scaffold_703555.1
OG0004688	Sp1g13290.1	Al_scaffold_0001_2017
OG0004690	Sp4g28890.1	fgenesh2_kg.181__3__AT2G46870.1, fgenesh2_kg.4__2914__AT2G46870.1
OG0004692	Sp4g22380.1	fgenesh2_kg.5__1968__AT1G19080.1
OG0004694	Sp4g28800.1	scaffold_403649.1
OG0004695	Sp6g01930.1	fgenesh1_pm.C_scaffold_6002815
OG0004696	Sp7g32260.1	fgenesh2_kg.7__646__AT4G34460.1
OG0004698	Sp3g18490.1	scaffold_302339.1, fgenesh2_kg.3__2273__AT3G20475.1
OG0004699	Sp7g01190.1	fgenesh2_kg.7__3348__AT5G40670.1
OG0004700	Sp5g32010.1	scaffold_202644.1
OG0004701	Sp3g22160.1	scaffold_302985.1, fgenesh2_kg.4__501__AT3G24350.1
OG0004702	Sp1g06920.1	fgenesh1_pg.C_scaffold_1000684
OG0004703	Sp5g33210.1	fgenesh2_kg.2__2105__AT1G78080.1
OG0004704	Sp5g25920.1	fgenesh2_kg.2__1335__AT1G70740.1
OG0004705	Sp1g02900.1	fgenesh1_pg.C_scaffold_1000294
OG0004706	Sp4g26820.1	fgenesh2_kg.4__2664__AT2G44745.1
