Orthogroup	Thellungiella_parvula	Tarenaya_hassleriana
OG0009106	Sp6g14100.1	Th2v09302, Th2v29494, Th2v29495
OG0009107	Sp4g18280.1	Th2v29748
OG0009108	Sp5g11490.1, SpUn0083_0030.1	Th2v13469, Th2v30433
OG0009109	Sp5g21190.1	Th2v00564, Th2v05254
OG0009110	Sp7g25970.1	Th2v09611, Th2v21760
OG0009111	Sp1g02650.1	Th2v07997
OG0009112	Sp3g02550.1	Th2v09144
OG0009113	Sp5g09130.1	Th2v29376
OG0009114	Sp1g11960.1	Th2v00174
OG0009115	Sp1g38930.1	Th2v19119
OG0009116	Sp7g22180.1	Th2v28820
OG0009117	Sp3g05940.1	Th2v09235
OG0009118	Sp5g19410.1	Th2v00633
OG0009119	Sp6g31300.1	Th2v29002
OG0009120	Sp3g29090.1, Sp3g29120.1, Sp3g29110.1	Th2v02863, Th2v12057
OG0009121	Sp5g29040.1	Th2v09911
OG0009122	Sp5g33010.1	Th2v05677, Th2v20758
OG0009123	Sp2g30410.1	Th2v14170, Th2v26715
OG0009124	Sp1g08170.1	Th2v05073, Th2v24342
OG0009125	Sp4g00630.1	Th2v03247, Th2v12558
OG0009126	Sp3g20110.1	Th2v19057
OG0009127	Sp3g01700.1	Th2v23017
OG0009128	Sp1g01530.1	Th2v16333
OG0009129	Sp5g10350.1	Th2v30651
OG0009131	Sp2g12350.1	Th2v10612
OG0009132	Sp7g36030.1	Th2v03190, Th2v12702
OG0009133	Sp6g30560.1	Th2v11593, Th2v08639
OG0009134	Sp5g31890.1, Sp5g31880.1	Th2v09816
OG0009135	Sp7g36570.1	Th2v12540
OG0009137	Sp3g30590.1	Th2v12149
OG0009139	Sp1g35840.1	Th2v26395, Th2v27704
OG0009140	Sp7g30370.1	Th2v01991, Th2v02031
OG0009141	Sp6g00700.1	Th2v16468, Th2v29273
OG0009142	Sp2g10670.1	Th2v07379, Th2v10698
OG0009143	Sp7g23280.1	Th2v26873
OG0009144	Sp3g26280.1	Th2v25161, Th2v08501, Th2v19723
OG0009145	Sp1g26670.1	Th2v01400
OG0009146	Sp6g21430.1	Th2v21281
OG0009147	Sp7g15200.1	Th2v28493
OG0009148	Sp4g28300.1	Th2v07187, Th2v12901, Th2v22596
OG0009150	Sp1g12540.1	Th2v28689
OG0009153	Sp2g26260.1	Th2v09264, Th2v17382
OG0009154	Sp6g04170.1	Th2v04406
OG0009155	Sp1g08460.1	Th2v24300, Th2v24326
OG0009156	Sp6g12980.1	Th2v11633, Th2v11634
OG0009157	Sp7g30350.1	Th2v02033
OG0009158	Sp4g11710.1	Th2v07549, Th2v15735
OG0009159	Sp7g23340.1	Th2v09322, Th2v26879
OG0009160	Sp2g12390.1	Th2v17102
OG0009161	Sp5g10740.1	Th2v09075
OG0009162	Sp2g00290.1	Th2v20445, Th2v04819, Th2v20444
OG0009163	Sp7g25400.1	Th2v09650
OG0009164	Sp3g07520.1	Th2v08955
OG0009165	Sp5g23560.1	Th2v24845
OG0009166	Sp7g05710.1, Sp5g20140.1	Th2v05242
OG0009167	Sp4g24320.1	Th2v13232, Th2v25868
OG0009168	Sp6g36020.1	Th2v17722
OG0009170	Sp4g22260.1	Th2v06702, Th2v15400
OG0009171	Sp4g21790.1	Th2v22321
OG0009172	Sp6g30830.1	Th2v28187
OG0009173	Sp1g34120.1	Th2v10314, Th2v29078
OG0009174	Sp1g16950.1	Th2v20361
OG0009175	Sp2g25780.1	Th2v11906, Th2v23999
OG0009176	Sp5g07980.1	Th2v06598, Th2v15298
OG0009177	SpUn0242_0010.1	Th2v19507
OG0009178	Sp7g16030.1	Th2v19704
OG0009179	Sp7g13580.1	Th2v18214
OG0009180	Sp2g13420.1	Th2v00059, Th2v06524, Th2v15223
OG0009181	Sp4g19300.1	Th2v14658, Th2v16877
OG0009182	Sp6g23930.1	Th2v18012, Th2v18995
OG0009183	Sp3g31360.1	Th2v02990, Th2v21564
OG0009184	Sp5g34670.1	Th2v10148, Th2v23371
OG0009185	Sp7g22320.1	Th2v30229
OG0009187	Sp6g06610.1	Th2v16833
OG0009188	Sp5g13480.1	Th2v14064, Th2v14061, Th2v14065
OG0009189	Sp6g26360.1	Th2v18539, Th2v22904
OG0009190	Sp7g18040.1	Th2v04243, Th2v16597
OG0009192	Sp5g36040.1	Th2v05038
OG0009193	Sp6g13670.1	Th2v09329
OG0009194	Sp2g16120.1	Th2v28490
OG0009195	Sp2g30690.1	Th2v13424
OG0009196	Sp6g30840.1	Th2v03875
OG0009197	Sp5g06810.1	Th2v03373
OG0009198	Sp4g19910.1	Th2v03372, Th2v16954
OG0009199	Sp1g29510.1	Th2v04697
OG0009200	Sp5g13830.1	Th2v09259, Th2v17387
OG0009201	Sp7g29320.1	Th2v02078
OG0009202	Sp6g26390.1	Th2v18535, Th2v22887
OG0009203	Sp5g32160.1	Th2v09836
OG0009204	Sp4g14550.1	Th2v08127, Th2v15993
OG0009205	Sp3g30540.1	Th2v02914, Th2v12146
OG0009206	Sp1g11280.1	Th2v28598
OG0009207	Sp3g14690.1	Th2v23875, Th2v27451
OG0009208	Sp4g00320.1	Th2v02296, Th2v12585
OG0009209	Sp5g27980.1	Th2v05940, Th2v21061
OG0009210	Sp1g05650.1	Th2v10438, Th2v15835
OG0009211	Sp6g33570.1	Th2v13669, Th2v24216
OG0009212	Sp6g38780.1	Th2v00742
OG0009213	Sp1g25270.1	Th2v01329, Th2v26539
OG0009214	Sp5g27100.1	Th2v21163
OG0009215	Sp2g29570.1	Th2v10308
OG0009216	Sp6g35740.1	Th2v13947
OG0009217	Sp7g26460.1	Th2v12668
OG0009218	Sp3g18560.1	Th2v29101
OG0009219	Sp6g31900.1	Th2v19274
OG0009220	Sp3g18370.1	Th2v21806
OG0009221	Sp5g34090.1	Th2v10099
OG0009222	Sp7g28320.1	Th2v01751
OG0009223	Sp1g28190.1	Th2v04614, Th2v10896
OG0009224	Sp2g08660.1	Th2v16132
OG0009225	Sp4g01590.1	Th2v02367
OG0009226	Sp6g03220.1	Th2v16212
OG0009227	Sp6g05420.1	Th2v04490, Th2v16741, Th2v10829
OG0009228	Sp2g22280.1	Th2v21420, Th2v30061
OG0009229	Sp7g01470.1	Th2v00314
OG0009230	Sp1g15020.1	Th2v23310
OG0009231	Sp2g17140.1	Th2v00354
OG0009233	Sp7g17150.1	Th2v01517
OG0009234	Sp6g19240.1	Th2v09593
OG0009236	Sp6g23830.1	Th2v18987
OG0009237	Sp7g34580.1	Th2v03064
OG0009238	Sp5g34790.1	Th2v05632, Th2v23383
OG0009239	Sp2g24970.1	Th2v13907, Th2v24040
OG0009240	Sp1g27190.1	Th2v01434
OG0009241	Sp5g14330.1	Th2v13973
OG0009243	Sp4g24170.1	Th2v06822, Th2v15520, Th2v13194, Th2v25836
OG0009244	Sp2g17510.1	Th2v00384
OG0009245	Sp5g32920.1	Th2v27991
OG0009246	Sp1g05350.1	Th2v10472, Th2v15864
OG0009247	Sp4g01710.1	Th2v02376, Th2v03147
OG0009248	Sp7g37140.1	Th2v02288, Th2v12593
OG0009249	Sp6g29340.1	Th2v23156
OG0009250	Sp2g12670.1	Th2v00013, Th2v06561, Th2v15261
OG0009251	Sp4g21110.1, Sp4g21130.1	Th2v30075
OG0009252	Sp5g11670.1	Th2v13487, Th2v14207, Th2v26674
OG0009253	Sp5g03640.1	Th2v06916, Th2v13341, Th2v25964
OG0009255	Sp6g10430.1, Sp6g10410.1, Sp6g06810.1	Th2v10894, Th2v10895
OG0009256	Sp6g05160.1	Th2v04470
OG0009257	Sp7g32990.1	Th2v02770
OG0009258	Sp2g01930.1	Th2v06015, Th2v14724
OG0009259	Sp3g02670.1	Th2v22890, Th2v22891
OG0009260	Sp6g18750.1	Th2v05549
OG0009261	Sp7g02150.1	Th2v06359, Th2v15058, Th2v23224
OG0009262	Sp5g12990.1	Th2v14107, Th2v26784
OG0009263	Sp4g13380.1	Th2v08206
OG0009264	Sp1g24340.1	Th2v10344
OG0009265	Sp4g03260.1	Th2v01790, Th2v02102
OG0009267	Sp1g19440.1	Th2v05688, Th2v20770
OG0009268	Sp3g23640.1, Sp7g10960.1	Th2v19532
OG0009269	Sp3g06930.1	Th2v08616
OG0009270	Sp4g01690.1	Th2v02373, Th2v12740
OG0009271	Sp1g22610.1	Th2v29688
OG0009272	Sp1g02540.1	Th2v16196
OG0009273	Sp6g36110.1	Th2v17709
OG0009274	Sp2g05250.1	Th2v05046, Th2v06141, Th2v14848
OG0009275	Sp5g32500.1	Th2v30404, Th2v31435, Th2v04158
OG0009276	Sp1g34620.1	Th2v19091
OG0009277	Sp5g11650.1	Th2v13485, Th2v14206, Th2v26675
OG0009279	Sp4g23230.1	Th2v20331, Th2v29844, Th2v30940
OG0009280	Sp2g24500.1	Th2v13869, Th2v24075
OG0009281	Sp2g10590.1	Th2v10701, Th2v27285
OG0009282	Sp2g25180.1	Th2v11898, Th2v13920
OG0009283	Sp1g07590.1	Th2v05124
OG0009284	Sp1g01880.1	Th2v07939
OG0009285	Sp2g18580.1	Th2v18295, Th2v24750
OG0009286	Sp5g14500.1	Th2v30399
OG0009287	Sp7g07700.1	Th2v05191, Th2v06238, Th2v14939
OG0009288	Sp6g31700.1	Th2v17579, Th2v29023
OG0009289	Sp6g05430.1	Th2v17520
OG0009290	Sp3g19770.1	Th2v18211
OG0009291	Sp3g09360.1	Th2v20208
OG0009292	Sp5g10090.1	Th2v03589
OG0009293	Sp5g06320.1	Th2v22434
OG0009294	Sp4g24100.1	Th2v13187, Th2v25829
OG0009295	Sp4g13070.1	Th2v10453, Th2v15848, Th2v08228
OG0009296	Sp2g18410.1	Th2v03854, Th2v16422
OG0009297	Sp4g20930.1	Th2v14539, Th2v17025
OG0009298	Sp1g28180.1	Th2v04615, Th2v16846
OG0009299	Sp2g18300.1	Th2v19051
OG0009300	Sp5g05580.1	Th2v06782, Th2v15480, Th2v28448
OG0009302	Sp5g14150.1	Th2v11910
OG0009303	Sp5g13420.1	Th2v14070, Th2v23943
OG0009304	Sp5g23200.1	Th2v03941
OG0009305	Sp6g12920.1	Th2v09373
OG0009306	Sp6g38990.1	Th2v08853, Th2v14436, Th2v20056
OG0009308	Sp6g12380.1	Th2v09415
OG0009309	Sp3g17080.1	Th2v00729
OG0009310	Sp2g03990.1	Th2v06112, Th2v14821
OG0009312	Sp6g22570.1	Th2v18875
OG0009313	Sp3g03620.1	Th2v11135
OG0009314	Sp3g14540.1	Th2v00846, Th2v23866, Th2v27459
OG0009315	Sp6g25470.1	Th2v18402
OG0009316	Sp7g31540.1	Th2v02733
OG0009317	Sp7g33130.1	Th2v02488
OG0009318	Sp5g12060.1	Th2v13529
OG0009319	Sp2g25160.1	Th2v11896, Th2v13918
OG0009321	Sp7g34680.1	Th2v12286
OG0009323	Sp3g14670.1	Th2v21915
OG0009324	Sp6g15510.1	Th2v09706
OG0009325	Sp1g16740.1	Th2v23461
OG0009326	Sp6g14600.1	Th2v09762
OG0009327	Sp2g28120.1	Th2v29354, Th2v31298, Th2v30883
OG0009328	Sp3g03600.1	Th2v25399
OG0009329	Sp6g30220.1	Th2v08632
OG0009330	Sp5g24730.1	Th2v25021, Th2v25627
OG0009331	Sp6g34670.1	Th2v24121, Th2v13811
OG0009332	Sp1g19350.1	Th2v28011
OG0009333	Sp2g26850.1	Th2v11831, Th2v13754
OG0009334	Sp5g06430.1	Th2v22429
OG0009335	Sp6g28970.1	Th2v23124
OG0009336	Sp6g27370.1	Th2v09099
OG0009337	Sp1g16860.1	Th2v20339
OG0009338	Sp6g39770.1	Th2v08906
OG0009339	Sp7g21850.1	Th2v04589
OG0009340	Sp1g21430.1	Th2v25673, Th2v25674
OG0009341	Sp1g37990.1	Th2v29092
OG0009342	Sp4g28620.1	Th2v12939, Th2v22636
OG0009343	Sp3g10550.1	Th2v14273, Th2v22097, Th2v17768
OG0009344	Sp6g29790.1	Th2v24729
OG0009345	Sp6g30440.1	Th2v17766, Th2v14276, Th2v22099
OG0009346	Sp5g13430.1	Th2v14069, Th2v23944
OG0009347	Sp3g22040.1	Th2v25354
OG0009348	Sp5g03200.1	Th2v07125, Th2v18056, Th2v07127, Th2v18054
OG0009349	Sp3g05860.1	Th2v09230
OG0009350	Sp1g10080.1	Th2v20649
OG0009351	Sp6g40970.1	Th2v14511, Th2v19876
OG0009352	Sp1g32760.1	Th2v17211
OG0009353	Sp4g21460.1	Th2v03540
OG0009354	Sp2g29850.1	Th2v13483, Th2v14205, Th2v26677
OG0009355	Sp1g07240.1	Th2v00699, Th2v05149
OG0009356	Sp4g29190.1	Th2v12993, Th2v22695
OG0009357	Sp6g24270.1	Th2v18035
OG0009358	Sp4g25750.1	Th2v06927, Th2v13362, Th2v25981
OG0009359	Sp6g14640.1	Th2v28934
OG0009360	Sp5g24790.1	Th2v05170, Th2v30631, Th2v31154, Th2v30552
OG0009361	Sp4g13320.1	Th2v01145, Th2v08211
OG0009362	Sp1g06350.1	Th2v08293
OG0009363	Sp7g34690.1	Th2v02402, Th2v12288
OG0009364	Sp1g09360.1	Th2v20720
OG0009365	Sp1g09140.1	Th2v24260
OG0009366	Sp3g00980.1	Th2v18603
OG0009367	Sp1g14950.1	Th2v10084
OG0009368	Sp4g17750.1	Th2v01468
OG0009369	Sp2g14530.1	Th2v28725
OG0009370	Sp2g14400.1	Th2v19782
OG0009371	Sp2g25910.1	Th2v23987
OG0009372	Sp2g26890.1	Th2v06085, Th2v14794
OG0009373	Sp1g05380.1	Th2v08214
OG0009374	Sp4g13800.1	Th2v15917
OG0009375	Sp2g15260.1	Th2v00212
OG0009376	Sp6g16510.1	Th2v29073, Th2v28292
OG0009377	Sp6g25240.1	Th2v11294
OG0009378	Sp5g27530.1	Th2v10021
OG0009379	Sp3g13720.1	Th2v23809, Th2v27354
OG0009380	Sp7g19440.1	Th2v04364, Th2v16660
OG0009381	Sp7g28290.1	Th2v01747, Th2v02127, Th2v12447
OG0009382	Sp6g13350.1	Th2v09375
OG0009383	Sp1g38580.1	Th2v21896
OG0009384	Sp3g03280.1	Th2v22861
OG0009387	Sp3g13640.1	Th2v22004
OG0009388	Sp2g29990.1	Th2v11697
OG0009390	Sp6g23490.1	Th2v17978
OG0009391	Sp7g29270.1	Th2v01822
OG0009392	Sp1g17790.1	Th2v28086
OG0009393	Sp1g15790.1	Th2v29485
OG0009394	Sp4g15290.1	Th2v19640, Th2v08095, Th2v27123
OG0009395	Sp6g24360.1	Th2v18045
OG0009396	Sp1g37500.1, Sp6g03110.1	Th2v16220
OG0009397	Sp6g29950.1	Th2v16781
OG0009399	Sp4g01060.1	Th2v02338, Th2v03215
OG0009401	Sp3g22390.1	Th2v25305, Th2v19557, Th2v25366
OG0009402	Sp3g26690.1	Th2v08504
OG0009403	Sp2g01240.1	Th2v11574
OG0009404	Sp3g17900.1	Th2v08466, Th2v30099
OG0009405	Sp1g34670.1	Th2v11031
OG0009406	Sp4g28470.1	Th2v12923, Th2v22619, Th2v27533
OG0009407	Sp2g12370.1	Th2v27226
OG0009408	Sp6g26460.1	Th2v22895
OG0009409	Sp2g08910.1	Th2v20327, Th2v30868
OG0009410	Sp2g17490.1	Th2v00382, Th2v05379, Th2v06346, Th2v15044
OG0009411	Sp7g29970.1	Th2v23558, Th2v22053
OG0009412	Sp2g09330.1	Th2v16637
OG0009413	Sp4g23930.1	Th2v06807, Th2v15505
OG0009414	Sp2g25670.1	Th2v11919
OG0009415	Sp5g05700.1	Th2v28423
OG0009416	Sp2g14330.1	Th2v06486, Th2v15183
OG0009417	Sp1g19670.1	Th2v27969, Th2v30565
OG0009418	Sp6g40310.1	Th2v19956
OG0009419	Sp5g10660.1	Th2v14546
OG0009420	Sp2g00010.1	Th2v04805, Th2v06090, Th2v14799
OG0009421	Sp3g01900.1	Th2v10590, Th2v29516
OG0009422	Sp4g15940.1	Th2v17230
OG0009423	Sp4g15760.1	Th2v08054
OG0009424	Sp6g31560.1	Th2v19235
OG0009425	Sp4g27850.1	Th2v12858, Th2v22552
OG0009426	Sp5g29390.1	Th2v09879
OG0009427	Sp5g01330.1	Th2v07242
OG0009429	Sp1g12360.1	Th2v00126, Th2v28699
OG0009431	Sp1g08710.1	Th2v05039
OG0009432	Sp2g20910.1	Th2v06227, Th2v14928
OG0009433	Sp6g34700.1	Th2v13815
OG0009434	Sp5g22170.1	Th2v00471, Th2v05331
OG0009435	Sp7g26140.1	Th2v01549, Th2v02265
OG0009436	Sp5g21980.1	Th2v00497, Th2v05325
OG0009437	Sp3g32360.1	Th2v01721, Th2v12435
OG0009438	Sp4g20810.1	Th2v14550
OG0009439	Sp5g06900.1	Th2v03369, Th2v06688, Th2v15387
OG0009440	Sp5g04210.1	Th2v06870, Th2v13270, Th2v25903
OG0009441	Sp4g28120.1	Th2v07175
OG0009442	Sp2g11590.1, SpUn0036_0020.1	Th2v17074
OG0009443	Sp6g39960.1	Th2v19986
OG0009444	Sp4g13220.1	Th2v01142, Th2v10465, Th2v15857
OG0009445	Sp5g13770.1	Th2v14045
OG0009446	Sp5g10230.1	Th2v07446
OG0009447	Sp7g30070.1	Th2v01876
OG0009448	Sp1g03630.1	Th2v16063, Th2v27112
OG0009449	Sp3g12690.1	Th2v00911, Th2v23732
OG0009450	Sp6g30300.1	Th2v11568
OG0009452	Sp2g23330.1	Th2v14105, Th2v26786
OG0009453	Sp7g18820.1	Th2v04318
OG0009454	Sp7g27460.1	Th2v01201, Th2v02172
OG0009455	Sp6g03310.1	Th2v16207, Th2v27043
OG0009456	Sp1g39940.1	Th2v03541
OG0009457	Sp4g16030.1	Th2v17268
OG0009458	Sp3g32870.1	Th2v01672, Th2v02169
OG0009459	Sp6g05990.1	Th2v04534, Th2v16792, Th2v16797
OG0009460	Sp3g19440.1	Th2v19714
OG0009461	Sp7g31980.1	Th2v02765
OG0009462	Sp3g09120.1	Th2v08804, Th2v20175
OG0009463	Sp5g01630.1	Th2v07202, Th2v22868
OG0009464	Sp5g12740.1	Th2v21353
OG0009465	Sp2g10720.1	Th2v16556
OG0009466	Sp1g05320.1	Th2v08210
OG0009467	Sp1g08590.1	Th2v24303
OG0009468	Sp1g41390.1, Sp1g13210.1	Th2v00042
OG0009469	Sp7g16970.1, SpUn0001_0600.1	Th2v10613
OG0009470	Sp6g25170.1	Th2v24632
OG0009472	Sp3g12750.1	Th2v26066
OG0009473	Sp3g34070.1	Th2v01548
OG0009474	Sp6g16930.1	Th2v09422
OG0009475	Sp5g33490.1	Th2v10046
OG0009477	Sp6g24580.1	Th2v17469
OG0009478	Sp7g20950.1	Th2v10835
OG0009479	Sp1g28160.1	Th2v10898, Th2v16848
OG0009480	Sp3g06310.1	Th2v11459, Th2v18325
OG0009482	Sp5g00440.1	Th2v13086, Th2v22792
OG0009483	Sp6g38830.1	Th2v14430, Th2v22258
OG0009484	Sp5g23070.1	Th2v29993
OG0009485	Sp1g31540.1	Th2v04783, Th2v17175
OG0009486	Sp2g13650.1	Th2v15209, Th2v28666
OG0009487	Sp2g05450.1	Th2v05053, Th2v24315
OG0009488	Sp2g12890.1	Th2v05434, Th2v06550, Th2v15249
OG0009489	Sp2g15860.1	Th2v00250
OG0009490	SpUn0429_0010.1, SpUn0744_0010.1	Th2v16118
OG0009491	Sp5g22310.1	Th2v28212, Th2v29640
OG0009492	Sp7g16440.1	Th2v17061
OG0009493	Sp2g29190.1	Th2v11742, Th2v14248, Th2v26629
OG0009494	Sp2g22760.1	Th2v21368
OG0009495	Sp2g28830.1	Th2v13571, Th2v26623, Th2v30820
OG0009497	Sp5g27050.1	Th2v04183, Th2v21168
OG0009499	Sp2g27840.1	Th2v13663, Th2v31565
OG0009500	Sp6g23880.1	Th2v18007, Th2v18009
OG0009502	Sp1g14520.1	Th2v23347
OG0009503	Sp5g08680.1	Th2v16957
OG0009504	Sp4g11860.1	Th2v01097, Th2v08283
OG0009505	Sp6g16150.1	Th2v26969, Th2v28335
OG0009506	Sp7g03850.1	Th2v00502, Th2v06296, Th2v14997
OG0009507	Sp3g14150.1	Th2v23841, Th2v27322
OG0009508	Sp2g10480.1	Th2v16571
OG0009509	Sp1g40770.1	Th2v00960, Th2v23659, Th2v26093
OG0009510	Sp5g26170.1	Th2v25738
OG0009511	Sp4g15250.1, Sp4g15240.1	Th2v27120
OG0009512	Sp6g25180.1	Th2v24633
OG0009513	Sp5g34120.1	Th2v23326
OG0009514	Sp5g25360.1	Th2v24961, Th2v25676
OG0009515	Sp1g13440.1	Th2v05445
OG0009516	Sp7g00290.1	Th2v20459
OG0009517	Sp2g29340.1	Th2v11730, Th2v14236, Th2v26646
OG0009518	Sp7g10750.1	Th2v19552
OG0009520	Sp6g05660.1	Th2v04514, Th2v16758
OG0009521	Sp1g40380.1	Th2v26077
OG0009522	Sp5g09310.1	Th2v28827
OG0009523	Sp4g20360.1	Th2v03706, Th2v16912
OG0009524	Sp3g03350.1	Th2v18494
OG0009525	Sp5g17310.1	Th2v21487
OG0009526	Sp2g26220.1	Th2v14039
OG0009527	Sp7g35780.1	Th2v03170, Th2v12721
OG0009528	Sp6g30950.1	Th2v17508, Th2v19136
OG0009530	Sp5g28940.1	Th2v09921
OG0009531	Sp7g34130.1	Th2v02427, Th2v03014, Th2v21542
OG0009532	Sp7g12550.1	Th2v24580, Th2v19402, Th2v28745
OG0009533	Sp1g28240.1	Th2v10552, Th2v29217
OG0009534	Sp7g12690.1	Th2v07789
OG0009535	Sp7g16170.1	Th2v17084, Th2v27169
OG0009536	Sp6g00630.1	Th2v16464
OG0009537	Sp1g39370.1	Th2v23824, Th2v27339
OG0009539	Sp7g15920.1, Sp7g15930.1	Th2v16518
OG0009540	Sp1g17050.1	Th2v04649
OG0009541	SpUN0002_0210.1	Th2v00754, Th2v05135
OG0009542	Sp6g24680.1	Th2v17475, Th2v19067
OG0009543	Sp7g37190.1	Th2v03299, Th2v29388
OG0009544	Sp3g07020.1	Th2v30451, Th2v08641, Th2v08643
OG0009545	Sp3g09780.1	Th2v20274, Th2v14349, Th2v22173
OG0009546	Sp1g19160.1	Th2v24238, Th2v04159, Th2v31286, Th2v30405
OG0009547	Sp4g10150.1	Th2v08384
OG0009548	Sp5g06540.1	Th2v03393, Th2v22408
OG0009549	Sp2g21760.1	Th2v17609
OG0009550	Sp1g24740.1	Th2v01302, Th2v10357
OG0009552	Sp4g24020.1	Th2v13182, Th2v25825
OG0009553	Sp7g20280.1	Th2v04431, Th2v10803
OG0009554	Sp2g04540.1	Th2v04997, Th2v24269
OG0009555	Sp2g05370.1	Th2v24307
OG0009556	Sp4g17500.1	Th2v29227
OG0009557	Sp7g15790.1	Th2v10669, Th2v07409, Th2v07408
OG0009558	Sp3g17420.1	Th2v08485, Th2v19771
OG0009559	Sp3g19730.1	Th2v19292
OG0009560	Sp1g21900.1	Th2v25019, Th2v25629
OG0009561	Sp1g03510.1	Th2v08071
OG0009562	Sp5g08030.1	Th2v06602, Th2v15302
OG0009563	Sp5g22280.1	Th2v29788
OG0009564	Sp6g32680.1	Th2v17444, Th2v30204
OG0009565	SpUn0020_0050.1, Sp5g26930.1	Th2v27916
OG0009566	Sp5g23900.1	Th2v03966, Th2v24873
OG0009567	Sp2g22270.1	Th2v13052, Th2v22760
OG0009568	Sp5g24320.1	Th2v31423
OG0009569	Sp5g34430.1	Th2v10132
OG0009570	Sp3g13620.1	Th2v22007
OG0009571	Sp5g30290.1	Th2v03764
OG0009572	Sp7g14700.1	Th2v17265
OG0009573	Sp3g30550.1	Th2v02915
OG0009574	Sp5g18870.1	Th2v00647
OG0009575	Sp7g32950.1	Th2v12129
OG0009576	Sp5g25300.1	Th2v04016, Th2v25671
OG0009577	Sp2g14420.1	Th2v00141, Th2v06479, Th2v15176
OG0009578	Sp5g03900.1, SpUn0450_0010.1	Th2v13299, Th2v25932
OG0009579	Sp5g16430.1	Th2v21223, Th2v17925, Th2v18889
OG0009580	Sp4g10960.1	Th2v01050, Th2v07633, Th2v15660
OG0009582	SpUn1110_0010.1	Th2v29620, Th2v30830
OG0009583	Sp7g31170.1	Th2v11965
OG0009584	Sp2g25700.1	Th2v13985, Th2v13980
OG0009585	Sp5g22350.1	Th2v28215
OG0009586	Sp3g10180.1	Th2v08705
OG0009587	Sp3g17860.1	Th2v31210
OG0009588	Sp6g12480.1	Th2v26820, Th2v29733
OG0009589	Sp2g17810.1	Th2v00413
OG0009590	Sp3g33640.1	Th2v02238, Th2v12528
OG0009591	Sp6g16710.1	Th2v21614
OG0009592	Sp6g01470.1	Th2v07877, Th2v26999
OG0009593	Sp4g18070.1	Th2v30381
OG0009595	Sp5g23410.1	Th2v03959, Th2v24832
OG0009596	Sp6g34890.1	Th2v13851
OG0009597	Sp4g11640.1	Th2v01106, Th2v07556, Th2v15728
OG0009598	Sp3g20200.1	Th2v19341
OG0009599	Sp5g11720.1	Th2v11710
OG0009600	Sp1g27070.1, Sp1g27080.1	Th2v10524
OG0009601	Sp6g16670.1	Th2v05473
OG0009602	Sp7g14990.1	Th2v11642, Th2v13426
OG0009604	Sp6g30850.1	Th2v28188
OG0009605	Sp3g12310.1	Th2v00942
OG0009606	Sp7g34000.1	Th2v02436, Th2v12227
OG0009607	Sp5g02640.1	Th2v12808, Th2v22498
OG0009608	Sp6g07140.1	Th2v04644
OG0009609	Sp1g25010.1	Th2v26517
OG0009610	Sp2g18110.1	Th2v06321, Th2v15019
OG0009611	Sp5g13030.1	Th2v14102, Th2v26789
OG0009612	Sp3g29960.1	Th2v02509, Th2v12110, Th2v02883
OG0009613	Sp3g13290.1	Th2v23775, Th2v27387
OG0009619	Sp4g20470.1, SpUn0322_0010.1	Th2v03711
OG0009621	Sp1g28850.1	Th2v10915
OG0009622	Sp1g06380.1	Th2v07557, Th2v15727
OG0009623	Sp3g09000.1	Th2v20160
OG0009624	Sp4g14380.1	Th2v15979
OG0009625	Sp4g17060.1	Th2v01409, Th2v27872
OG0009627	Sp6g37760.1	Th2v08808
OG0009628	Sp1g11370.1	Th2v04867
OG0009629	Sp1g14180.1	Th2v10182
OG0009630	Sp1g21920.1	Th2v00105, Th2v25630, Th2v04000, Th2v25018
OG0009631	Sp1g06870.1	Th2v08355, Th2v15645
OG0009632	Sp5g29700.1	Th2v05889, Th2v20996
OG0009633	Sp5g32550.1	Th2v28025, Th2v05704, Th2v20790
OG0009634	Sp5g33170.1	Th2v30564, Th2v04217, Th2v27970
OG0009635	Sp5g30340.1	Th2v01551
OG0009635	Sp3g34030.1	Th2v01552
OG0009637	Sp4g01750.1	Th2v03143, Th2v12744
OG0009638	Sp4g10110.1	Th2v08389
OG0009639	Sp4g11440.1	Th2v07579, Th2v15709
OG0009640	Sp5g13010.1	Th2v14104, Th2v26787, Th2v17352
OG0009643	Sp7g35700.1	Th2v03163, Th2v12730
OG0009645	Sp6g16570.1	Th2v20412
OG0009648	Sp5g33760.1, SpUn0074_0070.1	Th2v10066
OG0009649	Sp4g02730.1	Th2v03054
OG0009650	Sp4g25310.1	Th2v03332, Th2v03553
OG0009651	Sp6g20850.1	Th2v17823, Th2v18749
OG0009652	Sp3g29320.1, Sp3g29410.1	Th2v17979, Th2v18958
OG0009653	Sp4g18470.1	Th2v03623
OG0009653	Sp5g09600.1	Th2v14666
OG0009654	Sp6g41040.1	Th2v19871
OG0009655	Sp6g25690.1	Th2v18392
OG0009656	Sp7g21680.1, Sp1g29030.1	Th2v04569, Th2v10862
OG0009657	Sp7g20900.1	Th2v04495
OG0009658	Sp4g00080.1	Th2v12610
OG0009660	Sp3g13800.1	Th2v21989
OG0009661	Sp4g06315.1	Th2v27386, Th2v05540, Th2v06063, Th2v06302, Th2v14771, Th2v15002, Th2v11589, Th2v31482, Th2v27389, Th2v02123, Th2v22294, Th2v01926
OG0009669	Sp3g12925.1	Th2v26050
