Orthogroup	Thellungiella_parvula	Eutrema_salsugineum
OG0005026	Sp6g23760.1	EUTSA_v10014202mg
OG0005027	Sp6g22440.1	EUTSA_v10014580mg
OG0005028	Sp7g28760.1	EUTSA_v10025311mg
OG0005029	Sp3g23160.1	EUTSA_v10002463mg
OG0005030	Sp6g20900.1	EUTSA_v10014998mg
OG0005031	Sp5g19240.1	EUTSA_v10022464mg
OG0005032	Sp3g05960.1	EUTSA_v10020288mg
OG0005033	Sp2g25020.1	EUTSA_v10004123mg, EUTSA_v10004141mg
OG0005034	Sp5g10700.1	EUTSA_v10010114mg
OG0005035	Sp4g19230.1	EUTSA_v10016734mg
OG0005036	Sp3g18690.1	EUTSA_v10020966mg
OG0005037	Sp3g20840.1	EUTSA_v10021496mg
OG0005039	Sp2g03300.1	EUTSA_v10023735mg
OG0005039	Sp1g09800.1	EUTSA_v10008990mg
OG0005040	Sp3g05620.1	EUTSA_v10022154mg
OG0005041	Sp6g07450.1	EUTSA_v10028826mg
OG0005042	Sp4g23680.1	EUTSA_v10017207mg
OG0005043	Sp7g12320.1	EUTSA_v10026537mg
OG0005044	Sp1g05800.1	EUTSA_v10008497mg
OG0005045	Sp4g15690.1	EUTSA_v10017178mg
OG0005046	Sp1g07770.1	EUTSA_v10009088mg
OG0005047	Sp6g20650.1	EUTSA_v10013257mg
OG0005048	Sp5g05000.1	EUTSA_v10005919mg
OG0005049	Sp7g13330.1	EUTSA_v10025974mg
OG0005050	Sp2g11700.1	EUTSA_v10000785mg
OG0005051	Sp6g26450.1	EUTSA_v10014113mg
OG0005052	Sp2g16870.1	EUTSA_v10004857mg
OG0005053	Sp6g15550.1	EUTSA_v10014378mg
OG0005054	Sp2g08940.1	EUTSA_v10003361mg
OG0005055	Sp7g30860.1	EUTSA_v10025572mg
OG0005056	Sp6g22870.1	EUTSA_v10014563mg
OG0005057	Sp1g39470.1	EUTSA_v10012278mg
OG0005058	Sp4g27520.1	EUTSA_v10001574mg
OG0005059	Sp6g31170.1, Sp6g33740.1	EUTSA_v10015495mg, EUTSA_v10015958mg, EUTSA_v10016050mg, EUTSA_v10002783mg
OG0005060	Sp3g07050.1	EUTSA_v10022271mg
OG0005061	Sp5g11550.1	EUTSA_v10010375mg
OG0005061	Sp2g29940.1	EUTSA_v10004249mg
OG0005062	Sp6g34380.1	EUTSA_v10014203mg
OG0005063	Sp5g29770.1	EUTSA_v10019477mg
OG0005064	Sp1g29580.1	EUTSA_v10006568mg
OG0005065	Sp2g16220.1	EUTSA_v10004700mg
OG0005066	Sp2g13150.1	EUTSA_v10003708mg
OG0005067	Sp2g30790.1	EUTSA_v10027937mg, EUTSA_v10023952mg
OG0005068	Sp2g25650.1	EUTSA_v10004487mg
OG0005069	Sp2g17530.1	EUTSA_v10004538mg
OG0005070	Sp3g21080.1	EUTSA_v10020141mg
OG0005071	Sp2g30050.1	EUTSA_v10004608mg
OG0005072	Sp7g36120.1	EUTSA_v10025958mg
OG0005073	Sp1g41910.1	EUTSA_v10011392mg
OG0005073	Sp5g34680.1	EUTSA_v10018385mg
OG0005077	Sp3g25880.1	EUTSA_v10022971mg
OG0005079	Sp6g08000.1	EUTSA_v10029501mg
OG0005081	Sp2g07880.1, Sp5g03530.1	EUTSA_v10006316mg
OG0005082	Sp6g06650.1	EUTSA_v10026847mg, EUTSA_v10027282mg, EUTSA_v10029447mg
OG0005083	Sp7g32380.1	EUTSA_v10027296mg
OG0005084	Sp2g25760.1	EUTSA_v10005150mg
OG0005085	Sp1g03940.1	EUTSA_v10009388mg
OG0005089	Sp2g14755.1	EUTSA_v10005505mg, EUTSA_v10005390mg, EUTSA_v10005341mg, EUTSA_v10005382mg
OG0005093	Sp5g12450.1	EUTSA_v10010700mg, EUTSA_v10019696mg
OG0005094	Sp2g29540.1	EUTSA_v10004238mg
OG0005095	Sp1g22810.1	EUTSA_v10009876mg
OG0005102	Sp7g15230.1	EUTSA_v10026010mg
OG0005103	Sp1g11360.1	EUTSA_v10006889mg
OG0005104	Sp5g22190.1	EUTSA_v10019499mg
OG0005105	Sp3g31710.1	EUTSA_v10022772mg
OG0005108	Sp4g20740.1	EUTSA_v10017948mg
OG0005109	Sp3g13060.1	EUTSA_v10021040mg
OG0005110	Sp1g06890.1	EUTSA_v10006524mg
OG0005111	Sp4g26690.1	EUTSA_v10001551mg
OG0005112	Sp2g15880.1	EUTSA_v10003992mg
OG0005113	Sp5g05710.1	EUTSA_v10006505mg
OG0005114	Sp1g36710.1	EUTSA_v10011257mg
OG0005115	Sp3g14990.1	EUTSA_v10021205mg
OG0005116	Sp7g02340.1	EUTSA_v10028351mg
OG0005118	Sp5g11750.1	EUTSA_v10010640mg
OG0005119	Sp6g06990.1	EUTSA_v10028483mg
OG0005120	Sp1g34160.1	EUTSA_v10011627mg
OG0005122	Sp5g27090.1	EUTSA_v10019369mg
OG0005124	Sp1g29070.1	EUTSA_v10006714mg
OG0005125	Sp6g19990.1	EUTSA_v10013555mg
OG0005126	Sp5g27200.1	EUTSA_v10018554mg
OG0005127	SpUn0123_0020.1, SpUn0008_0030.1	EUTSA_v10011878mg
OG0005128	Sp1g13660.1	EUTSA_v10007967mg
OG0005129	Sp4g15170.1, Sp4g04900.1	EUTSA_v10016948mg, EUTSA_v10016963mg
OG0005130	Sp6g17450.1	EUTSA_v10014189mg
OG0005131	Sp7g09370.1	EUTSA_v10025507mg
OG0005132	Sp1g25970.1	EUTSA_v10008899mg
OG0005133	Sp2g16530.1	EUTSA_v10005152mg
OG0005135	Sp3g20440.1	EUTSA_v10029384mg, EUTSA_v10017318mg, EUTSA_v10021679mg
OG0005136	Sp5g34710.1	EUTSA_v10018218mg
OG0005137	Sp3g12120.1	EUTSA_v10021042mg
OG0005138	Sp6g39830.1	EUTSA_v10014308mg
OG0005140	Sp3g06490.1	EUTSA_v10021333mg
OG0005141	Sp5g26490.1	EUTSA_v10018623mg
OG0005142	Sp3g03200.1	EUTSA_v10022325mg
OG0005143	Sp3g05470.1	EUTSA_v10019871mg
OG0005145	Sp5g00320.1	EUTSA_v10006167mg
OG0005146	Sp1g11050.1	EUTSA_v10008347mg
OG0005147	Sp4g01500.1	EUTSA_v10000117mg
OG0005147	Sp7g35740.1	EUTSA_v10024871mg
OG0005148	Sp4g03940.1	EUTSA_v10000548mg
OG0005148	Sp4g03870.1	EUTSA_v10000482mg, EUTSA_v10000170mg
OG0005148	Sp4g03900.1	EUTSA_v10000557mg
OG0005149	Sp7g29260.1	EUTSA_v10027115mg
OG0005150	Sp6g14210.1	EUTSA_v10015092mg
OG0005153	Sp5g21570.1	EUTSA_v10019000mg
OG0005154	Sp6g16740.1	EUTSA_v10013772mg
OG0005155	Sp3g06590.1	EUTSA_v10020967mg
OG0005156	Sp3g15430.1	EUTSA_v10022367mg
OG0005157	Sp1g28280.1	EUTSA_v10007075mg
OG0005158	Sp5g01590.1	EUTSA_v10005757mg
OG0005159	Sp3g13850.1	EUTSA_v10022354mg
OG0005160	Sp4g20070.1	EUTSA_v10016367mg
OG0005161	Sp2g09550.1	EUTSA_v10001067mg
OG0005162	Sp1g01940.1	EUTSA_v10008570mg
OG0005163	Sp7g15750.1	EUTSA_v10025369mg
OG0005164	Sp4g08280.1	EUTSA_v10002085mg
OG0005165	Sp5g35610.1	EUTSA_v10019155mg
OG0005167	Sp1g23360.1	EUTSA_v10008563mg
OG0005168	Sp1g17840.1	EUTSA_v10008606mg
OG0005169	Sp2g00090.1	EUTSA_v10023398mg
OG0005170	Sp7g26900.1, Sp5g19340.1	EUTSA_v10002141mg, EUTSA_v10024219mg
OG0005171	Sp4g15810.1	EUTSA_v10017251mg
OG0005172	Sp5g34640.1	EUTSA_v10019534mg
OG0005173	Sp7g17250.1	EUTSA_v10025552mg
OG0005174	Sp1g05040.1	EUTSA_v10006830mg
OG0005175	Sp5g32950.1	EUTSA_v10019011mg
OG0005176	Sp7g35150.1	EUTSA_v10025969mg
OG0005177	Sp5g19220.1	EUTSA_v10000018mg, EUTSA_v10023223mg, EUTSA_v10006613mg, EUTSA_v10001287mg
OG0005178	Sp3g30990.1	EUTSA_v10022605mg
OG0005179	SpUn0026_0060.1, Sp2g07010.1, SpUn0046_0030.1, SpUn0442_0010.1	EUTSA_v10003256mg
OG0005180	Sp6g19350.1	EUTSA_v10013919mg
OG0005181	Sp3g04070.1	EUTSA_v10020397mg
OG0005183	Sp1g17020.1	EUTSA_v10006890mg
OG0005184	Sp2g28220.1	EUTSA_v10004405mg
OG0005185	Sp3g12470.1	EUTSA_v10021462mg
OG0005186	Sp3g32960.1	EUTSA_v10002073mg
OG0005187	Sp1g27160.1	EUTSA_v10008731mg
OG0005188	Sp3g29697.1	EUTSA_v10022673mg
OG0005188	Sp3g29700.1	EUTSA_v10022681mg
OG0005189	Sp5g25050.1	EUTSA_v10019743mg
OG0005190	Sp1g41460.1	EUTSA_v10011172mg, EUTSA_v10011171mg
OG0005191	Sp2g25660.1	EUTSA_v10003962mg
OG0005192	Sp3g15020.1	EUTSA_v10021421mg
OG0005193	Sp4g28850.1	EUTSA_v10001663mg
OG0005194	Sp7g15250.1	EUTSA_v10024452mg
OG0005195	Sp5g35550.1	EUTSA_v10018067mg
OG0005196	Sp4g29450.1	EUTSA_v10001422mg
OG0005197	Sp1g33450.1	EUTSA_v10011600mg
OG0005198	Sp7g23760.1	EUTSA_v10024417mg
OG0005200	Sp6g27160.1	EUTSA_v10015111mg
OG0005201	Sp3g06780.1	EUTSA_v10021648mg
OG0005202	Sp7g15470.1	EUTSA_v10024648mg
OG0005203	Sp6g19580.1	EUTSA_v10014665mg
OG0005204	Sp1g24480.1	EUTSA_v10008551mg
OG0005205	Sp4g26050.1	EUTSA_v10001539mg
OG0005206	Sp3g21400.1	EUTSA_v10002586mg
OG0005207	Sp3g19970.1	EUTSA_v10021568mg
OG0005208	Sp2g12790.1	EUTSA_v10001016mg
OG0005209	Sp6g25670.1	EUTSA_v10013215mg
OG0005210	Sp7g09800.1	EUTSA_v10026192mg
OG0005211	Sp1g18670.1	EUTSA_v10006715mg
OG0005212	Sp3g08690.1	EUTSA_v10020509mg
OG0005213	Sp3g03410.1	EUTSA_v10021166mg
OG0005214	Sp4g28650.1	EUTSA_v10001678mg
OG0005215	Sp3g22930.1	EUTSA_v10003103mg
OG0005215	Sp2g30270.1	EUTSA_v10003807mg
OG0005216	Sp7g00140.1	EUTSA_v10028095mg
OG0005217	Sp7g16520.1	EUTSA_v10027216mg
OG0005217	Sp1g05450.1	EUTSA_v10006612mg
OG0005218	Sp6g30570.1	EUTSA_v10014516mg
OG0005220	Sp6g40170.1	EUTSA_v10022901mg, EUTSA_v10015468mg
OG0005221	Sp1g06330.1	EUTSA_v10007444mg
OG0005222	Sp2g26370.1, Sp2g26360.1	EUTSA_v10005544mg
OG0005223	Sp3g05760.1	EUTSA_v10022432mg
OG0005224	Sp1g27920.1	EUTSA_v10007844mg
OG0005225	Sp2g27520.1	EUTSA_v10004027mg
OG0005226	Sp1g09470.1	EUTSA_v10008932mg
OG0005227	Sp5g07580.1	EUTSA_v10010730mg
OG0005228	Sp7g31900.1	EUTSA_v10026060mg
OG0005229	Sp6g34720.1	EUTSA_v10014542mg
OG0005229	Sp2g23980.1	EUTSA_v10004843mg
OG0005230	Sp4g27740.1	EUTSA_v10001692mg
OG0005231	Sp4g22810.1	EUTSA_v10017905mg
OG0005232	Sp4g20260.1	EUTSA_v10017238mg
OG0005233	Sp4g10820.1	EUTSA_v10016532mg
OG0005234	Sp6g07950.1	EUTSA_v10028838mg
OG0005235	Sp3g19310.1	EUTSA_v10021538mg
OG0005236	Sp1g23120.1	EUTSA_v10012710mg
OG0005237	Sp6g23780.1	EUTSA_v10014483mg
OG0005238	Sp6g19740.1	EUTSA_v10014775mg, EUTSA_v10012050mg
OG0005239	Sp2g23610.1	EUTSA_v10004083mg
OG0005240	Sp3g20900.1	EUTSA_v10022110mg
OG0005241	Sp7g21590.1	EUTSA_v10025345mg
OG0005243	Sp5g13050.1	EUTSA_v10010290mg, EUTSA_v10003189mg
OG0005244	Sp5g05740.1	EUTSA_v10006121mg
OG0005245	Sp6g26630.1	EUTSA_v10015688mg
OG0005246	Sp3g01690.1	EUTSA_v10020352mg
OG0005247	Sp4g11670.1	EUTSA_v10016642mg
OG0005248	Sp6g06115.1, Sp6g06120.1	EUTSA_v10028733mg, EUTSA_v10028681mg
OG0005249	Sp5g00610.1	EUTSA_v10006396mg
OG0005250	Sp5g35670.1	EUTSA_v10018894mg
OG0005251	Sp6g19140.1	EUTSA_v10015874mg
OG0005252	Sp5g06440.1	EUTSA_v10006176mg
OG0005253	Sp4g00020.1	EUTSA_v10000588mg
OG0005254	Sp4g14130.1	EUTSA_v10016569mg
OG0005255	Sp3g28880.1	EUTSA_v10022992mg
OG0005256	Sp4g17940.1	EUTSA_v10016905mg
OG0005257	Sp6g35950.1	EUTSA_v10015696mg
OG0005258	Sp6g13310.1	EUTSA_v10014588mg
OG0005259	SpUn0003_0380.1, Sp3g32890.1	EUTSA_v10022665mg
OG0005260	Sp5g08410.1	EUTSA_v10010778mg
OG0005262	Sp7g06070.1, Sp7g00870.1	EUTSA_v10027756mg
OG0005264	Sp2g24830.1	EUTSA_v10005259mg
OG0005265	Sp4g29650.1	EUTSA_v10001666mg
OG0005266	Sp4g16320.1	EUTSA_v10017841mg
OG0005267	Sp3g16750.1	EUTSA_v10021101mg
OG0005268	Sp7g18130.1	EUTSA_v10026258mg
OG0005269	Sp4g25850.1	EUTSA_v10001711mg
OG0005270	Sp7g23140.1	EUTSA_v10027215mg
OG0005271	Sp1g19720.1	EUTSA_v10010014mg
OG0005272	Sp3g21770.1	EUTSA_v10002585mg
OG0005273	Sp6g31020.1	EUTSA_v10013835mg
OG0005274	Sp2g26080.1	EUTSA_v10005662mg
OG0005275	Sp4g21810.1	EUTSA_v10016823mg
OG0005276	Sp7g29950.1	EUTSA_v10024530mg
OG0005277	Sp4g13400.1	EUTSA_v10017317mg
OG0005278	Sp7g15040.1	EUTSA_v10025098mg
OG0005279	Sp2g03510.1	EUTSA_v10023463mg
OG0005280	Sp1g16760.1	EUTSA_v10007954mg, EUTSA_v10019839mg
OG0005281	Sp2g29200.1	EUTSA_v10004839mg
OG0005282	Sp6g39750.1	EUTSA_v10012661mg
OG0005283	Sp6g00960.1	EUTSA_v10029019mg
OG0005284	Sp2g00370.1, Sp2g00350.1	EUTSA_v10023588mg
OG0005285	Sp2g12680.1	EUTSA_v10000909mg
OG0005286	Sp3g20950.1	EUTSA_v10021563mg
OG0005287	Sp6g03640.1	EUTSA_v100288200mg
OG0005288	Sp3g23120.1	EUTSA_v10002618mg
OG0005289	Sp2g28490.1	EUTSA_v10005568mg
OG0005290	Sp2g01320.1	EUTSA_v10023745mg
OG0005291	Sp7g18500.1	EUTSA_v10025062mg
OG0005292	Sp6g14980.1	EUTSA_v10013442mg
OG0005293	Sp4g08250.1	EUTSA_v10002108mg
OG0005294	Sp2g28400.1	EUTSA_v10003703mg
OG0005295	Sp1g15220.1	EUTSA_v10008655mg
OG0005296	Sp3g09090.1	EUTSA_v10021133mg
OG0005297	Sp5g27860.1	EUTSA_v10019775mg
OG0005298	Sp1g40600.1	EUTSA_v10011564mg
OG0005299	Sp6g15530.1	EUTSA_v10013378mg
OG0005300	Sp6g39700.1	EUTSA_v10013950mg
OG0005301	Sp7g31410.1	EUTSA_v10024872mg, EUTSA_v10022684mg
OG0005302	Sp3g14760.1	EUTSA_v10020474mg
OG0005303	Sp1g12170.1	EUTSA_v10007099mg
OG0005304	Sp1g23430.1	EUTSA_v10006951mg
OG0005306	SpUN0854_0010.1	EUTSA_v10016375mg
OG0005307	Sp1g09270.1	EUTSA_v10008819mg
OG0005308	Sp5g22750.1	EUTSA_v10019165mg
OG0005309	Sp2g09410.1	EUTSA_v10000929mg
OG0005310	Sp3g19830.1	EUTSA_v10021287mg
OG0005311	Sp7g30540.1	EUTSA_v10025284mg
OG0005312	Sp5g09170.1	EUTSA_v10011062mg, EUTSA_v10023961mg
OG0005313	Sp5g33910.1	EUTSA_v10019242mg
OG0005314	Sp6g22740.1	EUTSA_v10015295mg, EUTSA_v10015318mg
OG0005315	Sp6g20010.1	EUTSA_v10013105mg
OG0005316	Sp7g32740.1	EUTSA_v10026999mg
OG0005317	Sp1g02080.1	EUTSA_v10006534mg
OG0005318	Sp1g37060.1	EUTSA_v10011205mg
OG0005319	Sp2g16940.1	EUTSA_v10004779mg
OG0005320	Sp7g23670.1	EUTSA_v10025035mg
OG0005321	Sp5g27040.1	EUTSA_v10019856mg
OG0005322	Sp3g16650.1	EUTSA_v10021947mg
OG0005323	Sp3g15990.1	EUTSA_v10021029mg
OG0005324	Sp4g10070.1	EUTSA_v10002076mg
OG0005325	Sp2g13790.1	EUTSA_v10003535mg
OG0005326	Sp1g41350.1	EUTSA_v10012280mg
OG0005327	Sp7g19030.1	EUTSA_v10026822mg, EUTSA_v10025283mg
OG0005328	Sp7g18580.1	EUTSA_v10026700mg
OG0005329	Sp3g12480.1	EUTSA_v10020086mg
OG0005330	Sp4g00520.1	EUTSA_v10000106mg
OG0005331	Sp1g25210.1	EUTSA_v10008510mg
OG0005332	Sp6g36490.1	EUTSA_v10014439mg
OG0005334	Sp3g02360.1	EUTSA_v10021121mg
OG0005335	Sp2g24460.1	EUTSA_v10005013mg, EUTSA_v10014823mg
OG0005336	Sp7g19290.1	EUTSA_v10027367mg
OG0005337	Sp6g07540.1	EUTSA_v10028785mg
OG0005338	Sp2g30400.1	EUTSA_v10004659mg
OG0005339	Sp6g12770.1	EUTSA_v10014225mg
OG0005340	Sp3g13240.1	EUTSA_v10021433mg
OG0005341	Sp2g05470.1	EUTSA_v10023533mg
OG0005341	Sp2g05460.1	EUTSA_v10023536mg
OG0005342	Sp1g14360.1	EUTSA_v10008658mg
OG0005343	Sp5g01820.1	EUTSA_v10005970mg
OG0005344	Sp6g26930.1	EUTSA_v10013821mg
OG0005345	Sp1g19790.1	EUTSA_v10008416mg
OG0005346	Sp3g31590.1	EUTSA_v10022883mg
OG0005347	Sp5g12210.1	EUTSA_v10010291mg
OG0005348	Sp1g11880.1	EUTSA_v10008925mg
OG0005349	Sp1g39220.1	EUTSA_v10011854mg
OG0005350	Sp3g20330.1	EUTSA_v10021330mg
OG0005351	Sp5g02200.1, Sp2g11550.1, SpUn0036_0060.1	EUTSA_v10000790mg, EUTSA_v10002775mg
OG0005352	Sp6g15900.1	EUTSA_v10014514mg
OG0005353	Sp4g22290.1	EUTSA_v10016586mg
OG0005354	Sp6g28020.1	EUTSA_v10013709mg
OG0005355	Sp6g26200.1	EUTSA_v10014598mg
OG0005356	Sp7g19560.1	EUTSA_v10027571mg
OG0005357	Sp2g20130.1	EUTSA_v10004925mg
OG0005358	Sp4g02780.1	EUTSA_v10000291mg
OG0005359	Sp6g30810.1	EUTSA_v10014234mg
OG0005360	Sp5g24190.1	EUTSA_v10019025mg
OG0005361	Sp1g26290.1	EUTSA_v10006836mg
OG0005362	Sp6g25860.1	EUTSA_v10013595mg
OG0005363	Sp2g22460.1	EUTSA_v10003609mg
OG0005363	Sp6g32650.1	EUTSA_v10012641mg
OG0005364	Sp3g31680.1	EUTSA_v10022793mg, EUTSA_v10022982mg
OG0005365	Sp7g16850.1	EUTSA_v10024186mg
OG0005366	Sp1g13970.1	EUTSA_v10006918mg
OG0005367	Sp1g20150.1	EUTSA_v10008456mg
OG0005368	Sp6g00860.1	EUTSA_v10029490mg
OG0005369	Sp7g22680.1	EUTSA_v10024557mg
OG0005371	Sp2g13920.1	EUTSA_v10004109mg
OG0005372	SpUn0027_0070.1, Sp3g22590.1	EUTSA_v10002843mg
OG0005373	Sp3g10190.1	EUTSA_v10019877mg
OG0005374	Sp5g32980.1	EUTSA_v10018012mg
OG0005375	Sp6g30540.1	EUTSA_v10012890mg
OG0005376	Sp7g23030.1	EUTSA_v10026410mg
OG0005377	Sp2g23450.1	EUTSA_v10004537mg
OG0005378	Sp7g31490.1	EUTSA_v10025138mg
OG0005379	Sp2g25320.1	EUTSA_v10005374mg
OG0005380	Sp6g37410.1	EUTSA_v10014719mg
OG0005381	Sp2g18570.1	EUTSA_v10005063mg
OG0005382	Sp6g28530.1	EUTSA_v10013619mg
OG0005383	Sp1g18910.1	EUTSA_v10008571mg
OG0005384	Sp1g15210.1	EUTSA_v10009905mg
OG0005385	Sp5g02560.1	EUTSA_v10005850mg
OG0005386	Sp6g01200.1	EUTSA_v10028612mg
OG0005387	Sp6g27020.1	EUTSA_v10014664mg
OG0005388	Sp3g16760.1	EUTSA_v10021464mg
OG0005389	Sp7g14670.1	EUTSA_v10026380mg
OG0005390	Sp2g25550.1	EUTSA_v10004488mg, EUTSA_v10005552mg
OG0005391	Sp3g10860.1	EUTSA_v10020732mg
OG0005392	Sp7g28930.1	EUTSA_v10025943mg
OG0005393	Sp2g25720.1	EUTSA_v10004313mg
OG0005394	Sp5g04730.1	EUTSA_v10006049mg
OG0005395	Sp2g16360.1	EUTSA_v10004321mg
OG0005396	Sp2g17990.1	EUTSA_v10003901mg
OG0005397	Sp1g37930.1	EUTSA_v10012263mg
OG0005399	Sp2g13490.1	EUTSA_v10003848mg
OG0005400	Sp5g04590.1	EUTSA_v10002077mg, EUTSA_v10002036mg
OG0005401	Sp7g15490.1	EUTSA_v10023013mg, EUTSA_v10024794mg
OG0005402	Sp4g24380.1	EUTSA_v10016816mg
OG0005403	Sp4g21030.1	EUTSA_v10017245mg
OG0005404	Sp2g08460.1	EUTSA_v10003278mg
OG0005404	Sp1g03070.1	EUTSA_v10008893mg
OG0005405	Sp2g29620.1	EUTSA_v10004846mg
OG0005406	Sp3g29760.1	EUTSA_v10016136mg, EUTSA_v10001877mg
OG0005407	Sp2g14740.1	EUTSA_v10003676mg, EUTSA_v10003073mg
OG0005408	Sp3g11190.1	EUTSA_v10020738mg
OG0005409	SpUn0061_0050.1, Sp4g22860.1	EUTSA_v10017917mg
OG0005410	Sp7g26360.1	EUTSA_v10026526mg
OG0005411	Sp6g24150.1	EUTSA_v10015371mg
OG0005412	Sp4g18690.1	EUTSA_v10022062mg, EUTSA_v10016778mg
OG0005413	Sp5g33850.1	EUTSA_v10019792mg
OG0005414	Sp5g23970.1	EUTSA_v10018830mg
OG0005415	Sp1g01850.1, Sp1g01840.1	EUTSA_v10008149mg
OG0005416	Sp4g17790.1	EUTSA_v10017598mg
OG0005417	Sp2g01640.1	EUTSA_v10023391mg
OG0005418	Sp5g11150.1	EUTSA_v10010460mg
OG0005419	Sp5g35090.1	EUTSA_v10018796mg
OG0005420	Sp5g12510.1	EUTSA_v10010085mg
OG0005421	Sp2g13810.1	EUTSA_v10004613mg
OG0005422	Sp1g07670.1	EUTSA_v10008221mg
OG0005423	Sp1g29310.1	EUTSA_v10007588mg
OG0005423	Sp1g29330.1	EUTSA_v10010020mg
OG0005424	Sp2g13690.1	EUTSA_v10004330mg
OG0005425	Sp1g33630.1	EUTSA_v10011651mg
OG0005426	Sp2g15200.1	EUTSA_v10004915mg
OG0005427	Sp2g16380.1	EUTSA_v10004746mg
OG0005428	Sp1g05660.1	EUTSA_v10006671mg
OG0005429	Sp3g14610.1	EUTSA_v10021303mg
OG0005430	Sp1g07230.1	EUTSA_v100086161mg
OG0005432	Sp2g15180.1	EUTSA_v10004816mg
OG0005434	Sp3g17450.1	EUTSA_v10020714mg
OG0005435	Sp3g19710.1	EUTSA_v10021267mg
OG0005436	Sp7g21660.1, Sp6g06260.1	EUTSA_v10028922mg
OG0005437	Sp6g20700.1	EUTSA_v10014600mg
OG0005438	Sp4g25130.1	EUTSA_v10017054mg
OG0005439	Sp3g02440.1	EUTSA_v10020852mg
OG0005440	Sp2g18040.1	EUTSA_v10028320mg, EUTSA_v10004387mg
OG0005442	Sp1g03330.1	EUTSA_v10007843mg
OG0005443	Sp1g07430.1	EUTSA_v10009929mg
OG0005444	Sp1g24530.1	EUTSA_v10008213mg
OG0005445	Sp6g24850.1	EUTSA_v10002037mg
OG0005446	Sp1g06170.1	EUTSA_v10007705mg
OG0005447	Sp5g24060.1	EUTSA_v10018444mg
OG0005448	Sp1g01280.1	EUTSA_v10008068mg
OG0005449	Sp3g13320.1	EUTSA_v10021100mg
OG0005450	Sp6g28280.1	EUTSA_v10015835mg
OG0005451	Sp4g28600.1	EUTSA_v10001490mg
OG0005453	Sp3g04760.1	EUTSA_v10005548mg
OG0005454	Sp2g18870.1	EUTSA_v10005044mg
OG0005455	Sp3g06040.1	EUTSA_v10019975mg
OG0005456	Sp7g34440.1	EUTSA_v10025775mg
OG0005457	Sp6g36910.1	EUTSA_v10013069mg
OG0005458	Sp7g17590.1	EUTSA_v10025409mg
OG0005459	Sp1g26120.1	EUTSA_v10007605mg
OG0005460	Sp4g02820.1	EUTSA_v10000290mg
OG0005460	Sp7g28360.1	EUTSA_v10025952mg
OG0005462	Sp2g25770.1	EUTSA_v10003887mg
OG0005463	Sp7g37310.1	EUTSA_v10024738mg
OG0005464	Sp2g13890.1	EUTSA_v10003878mg
OG0005465	Sp5g01390.1	EUTSA_v10005839mg
OG0005466	SpUn1454_0010.1	EUTSA_v10000910mg
OG0005467	Sp6g00110.1	EUTSA_v10028687mg
OG0005468	Sp5g32890.1	EUTSA_v10018161mg
OG0005469	Sp2g24540.1	EUTSA_v10020921mg, EUTSA_v10004255mg
OG0005470	Sp3g17620.1	EUTSA_v10021307mg
OG0005472	Sp4g13960.1	EUTSA_v10016430mg
OG0005473	Sp6g33110.1, Sp1g28000.1	EUTSA_v10013818mg
OG0005474	Sp2g29740.1	EUTSA_v10003952mg
OG0005475	Sp1g15090.1	EUTSA_v10009335mg
OG0005476	Sp5g20670.1	EUTSA_v10019176mg
OG0005477	Sp5g23415.1	EUTSA_v10018636mg
OG0005478	Sp1g38450.1	EUTSA_v10011979mg
OG0005478	Sp1g38440.1	EUTSA_v10011223mg
OG0005479	Sp6g22910.1	EUTSA_v10013490mg
OG0005480	Sp7g04690.1	EUTSA_v10028111mg
OG0005481	Sp6g23250.1	EUTSA_v10014420mg
OG0005482	Sp5g25370.1	EUTSA_v10018724mg, EUTSA_v10018689mg
OG0005483	Sp1g03270.1	EUTSA_v10009393mg
OG0005484	Sp2g29610.1	EUTSA_v10005130mg
OG0005485	Sp1g39390.1	EUTSA_v10011658mg
OG0005486	Sp7g26870.1	EUTSA_v10025235mg
OG0005487	Sp6g18580.1	EUTSA_v10013793mg
OG0005488	Sp7g31840.1	EUTSA_v10026144mg
OG0005489	Sp3g14340.1	EUTSA_v10020608mg
OG0005490	Sp6g19650.1	EUTSA_v10012558mg
OG0005491	Sp7g19420.1	EUTSA_v10027186mg
OG0005492	Sp2g28550.1	EUTSA_v10004041mg
OG0005493	Sp7g34190.1	EUTSA_v10025820mg
OG0005494	Sp1g22260.1	EUTSA_v10008445mg
OG0005495	Sp5g26610.1	EUTSA_v10019659mg
OG0005497	Sp2g18420.1	EUTSA_v10005412mg
OG0005498	Sp4g12560.1	EUTSA_v10017505mg
OG0005499	Sp5g28950.1	EUTSA_v10018747mg
OG0005500	Sp3g02290.1	EUTSA_v10021974mg
OG0005501	Sp2g01580.1	EUTSA_v10023613mg
OG0005502	Sp6g02140.1	EUTSA_v10029000mg
OG0005503	Sp5g06150.1	EUTSA_v10006215mg
OG0005504	Sp7g26730.1	EUTSA_v10025272mg
OG0005505	Sp7g19860.1	EUTSA_v10024251mg
OG0005506	Sp6g00840.1	EUTSA_v10028394mg
OG0005507	Sp5g33690.1	EUTSA_v10018946mg
OG0005508	Sp5g03810.1	EUTSA_v10005771mg
OG0005508	Sp4g25290.1	EUTSA_v10001304mg
OG0005509	Sp4g03970.1	EUTSA_v10000120mg
