Orthogroup	Capsella_rubella	Tarenaya_hassleriana
OG0005555	Carub.0004s1355.1.p	Th2v08125
OG0005556	Carub.0006s0780.1.p	Th2v24164
OG0005557	Carub.0003s3250.1.p	Th2v12242
OG0005558	Carub.0004s1688.1.p	Th2v01511, Th2v29213
OG0005559	Carub.0004s1779.1.p	Th2v06097, Th2v14806, Th2v30321
OG0005560	Carub.0006s1911.1.p	Th2v17997, Th2v18975
OG0005561	Carub.0008s1357.1.p	Th2v09710, Th2v28375
OG0005562	Carub.0004s2350.1.p	Th2v06779, Th2v15477
OG0005563	Carub.0001s3694.1.p	Th2v17246
OG0005564	Carub.0003s0430.1.p	Th2v11155, Th2v18482
OG0005565	Carub.0008s1652.1.p	Th2v09503, Th2v21687
OG0005566	Carub.0001s3516.1.p	Th2v23449, Th2v17198, Th2v31296
OG0005567	Carub.0003s3097.1.p	Th2v02493, Th2v02901
OG0005568	Carub.0006s2426.1.p	Th2v11258
OG0005569	Carub.0005s0530.1.p	Th2v00273, Th2v06410, Th2v15109
OG0005570	Carub.0006s0417.1.p	Th2v20189, Th2v14388, Th2v22216
OG0005571	Carub.0001s3623.1.p	Th2v11038, Th2v17294
OG0005572	Carub.0004s2784.1.p	Th2v22511
OG0005573	Carub.0008s0021.1.p	Th2v17097, Th2v27220
OG0005574	Carub.0003s2454.1.p	Th2v25331, Th2v25349, Th2v19519
OG0005575	Carub.0006s1767.1.p	Th2v11271
OG0005576	Carub.0005s0195.1.p	Th2v08399, Th2v24432
OG0005577	Carub.0001s2105.1.p	Th2v05710, Th2v20797, Th2v09859
OG0005578	Carub.0006s2357.1.p	Th2v29590, Th2v29589, Th2v29592
OG0005579	Carub.0001s1396.1.p	Th2v00104, Th2v28683
OG0005580	Carub.0002s1584.1.p	Th2v31314
OG0005581	Carub.0002s2228.1.p	Th2v04063, Th2v28033
OG0005582	Carub.0004s1119.1.p	Th2v08243, Th2v07459, Th2v15811
OG0005583	Carub.0006s0381.1.p	Th2v20159
OG0005584	Carub.0007s0620.1.p, Carub.0001s3520.1.p	Th2v12032, Th2v12033
OG0005585	Carub.0004s2717.1.p	Th2v07106, Th2v18071, Th2v12771, Th2v22458
OG0005586	Carub.0010s0003.1.p, Carub.0006s0385.1.p	Th2v08871
OG0005587	Carub.0003s1265.1.p	Th2v23616
OG0005588	Carub.0005s1376.1.p	Th2v10006, Th2v29007
OG0005589	Carub.0006s1330.1.p	Th2v23119, Th2v24688
OG0005590	Carub.0006s1684.1.p	Th2v11338, Th2v09023
OG0005592	Carub.0003s1559.1.p	Th2v23843, Th2v27321, Th2v23844, Th2v27320
OG0005593	Carub.0008s2643.1.p	Th2v13590
OG0005594	Carub.0006s3294.1.p	Th2v04385
OG0005595	Carub.0001s2050.1.p	Th2v05748, Th2v20842
OG0005596	Carub.0001s2610.1.p	Th2v03040, Th2v29583, Th2v29580
OG0005597	Carub.0008s0903.1.p	Th2v19490
OG0005598	Carub.0005s2740.1.p	Th2v07061, Th2v18112, Th2v12815, Th2v22504
OG0005599	Carub.0004s2359.1.p	Th2v06784, Th2v15482
OG0005600	Carub.0008s2817.1.p	Th2v11665, Th2v14163, Th2v26723
OG0005601	Carub.0006s2301.1.p	Th2v17463, Th2v30386
OG0005602	Carub.0006s2893.1.p	Th2v04641
OG0005603	Carub.0003s3076.1.p	Th2v02501, Th2v12120
OG0005604	Carub.0006s0152.1.p	Th2v08910, Th2v19998
OG0005605	Carub.0004s1697.1.p	Th2v29226
OG0005606	Carub.0002s2375.1.p	Th2v09823, Th2v05740, Th2v20831, Th2v31419
OG0005607	Carub.0001s0438.1.p	Th2v16023
OG0005608	Carub.0006s1821.1.p	Th2v02959, Th2v21596, Th2v19055
OG0005609	Carub.0005s2303.1.p	Th2v06735, Th2v15434
OG0005610	Carub.0008s2219.1.p	Th2v11888, Th2v13887
OG0005611	Carub.0001s3498.1.p, Carub.0004s0812.1.p	Th2v02779, Th2v25152
OG0005612	Carub.0004s1766.1.p	Th2v14688
OG0005613	Carub.0004s0609.1.p, Carub.0006s1390.1.p	Th2v23065
OG0005614	Carub.0004s2399.1.p	Th2v03461, Th2v06809, Th2v15507
OG0005615	Carub.0002s0579.1.p	Th2v05018, Th2v06126, Th2v14835
OG0005616	Carub.0001s1892.1.p	Th2v03772, Th2v05864, Th2v20966
OG0005617	Carub.0006s0088.1.p	Th2v08945, Th2v19945
OG0005618	Carub.0005s0395.1.p	Th2v11666, Th2v14164, Th2v26722
OG0005619	Carub.0008s1491.1.p	Th2v20402, Th2v28283, Th2v28286
OG0005620	Carub.0006s0958.1.p	Th2v21417, Th2v30062
OG0005621	Carub.0008s2491.1.p	Th2v13732, Th2v24176, Th2v01992
OG0005622	Carub.0001s3011.1.p	Th2v27797
OG0005623	Carub.0001s3638.1.p, Carub.0004s2923.1.p	Th2v12932, Th2v22629
OG0005626	Carub.0007s1703.1.p	Th2v04598, Th2v16842
OG0005627	Carub.0003s0669.1.p	Th2v18332, Th2v11439, Th2v24807
OG0005628	Carub.0006s1632.1.p, Carub.0006s1654.1.p	Th2v09160
OG0005629	Carub.0007s0651.1.p	Th2v12009, Th2v02574, Th2v02746
OG0005630	Carub.0002s2614.1.p	Th2v05641, Th2v23364
OG0005631	Carub.0008s2340.1.p	Th2v23995
OG0005632	Carub.0003s0476.1.p	Th2v11197, Th2v25443
OG0005633	Carub.0007s0508.1.p	Th2v02491, Th2v02904, Th2v12138
OG0005634	Carub.0008s1082.1.p	Th2v09370, Th2v23466
OG0005635	Carub.0005s1820.1.p	Th2v03718, Th2v14570
OG0005636	Carub.0006s0134.1.p	Th2v14463, Th2v08922, Th2v19983
OG0005637	Carub.0005s0336.1.p, Carub.0004s2662.1.p	Th2v03311, Th2v21851
OG0005638	Carub.0008s1699.1.p	Th2v09524, Th2v21696
OG0005639	Carub.0008s2270.1.p	Th2v13921
OG0005640	Carub.0006s1042.1.p	Th2v17580, Th2v19249
OG0005641	Carub.0002s2496.1.p	Th2v27968
OG0005642	Carub.0004s2921.1.p	Th2v07209, Th2v12931, Th2v22628, Th2v27532
OG0005644	Carub.0003s2116.1.p	Th2v21874
OG0005645	Carub.0007s1537.1.p	Th2v09758, Th2v26911
OG0005646	Carub.0004s1128.1.p	Th2v01124, Th2v10433, Th2v15832
OG0005647	Carub.0001s1185.1.p	Th2v20584
OG0005648	Carub.0006s1921.1.p	Th2v01556, Th2v02260
OG0005649	Carub.0002s0144.1.p	Th2v04524, Th2v20504
OG0005650	Carub.0003s0738.1.p	Th2v11514, Th2v08592
OG0005651	Carub.0003s1353.1.p	Th2v23682, Th2v26111
OG0005652	Carub.0004s1073.1.p	Th2v08257
OG0005653	Carub.0001s1979.1.p	Th2v05805, Th2v20899, Th2v28119
OG0005654	Carub.0007s0434.1.p	Th2v12203
OG0005655	Carub.0003s0484.1.p	Th2v18456, Th2v11209, Th2v25448
OG0005656	Carub.0002s0937.1.p	Th2v06202, Th2v14905, Th2v00735, Th2v05400
OG0005657	Carub.0005s2449.1.p	Th2v03471
OG0005658	Carub.0006s1600.1.p	Th2v22896, Th2v30108
OG0005659	Carub.0001s1175.1.p	Th2v20592, Th2v20593
OG0005660	Carub.0004s0165.1.p	Th2v03166, Th2v12725
OG0005661	Carub.0001s4274.1.p, Carub.0008s2287.1.p	Th2v31238, Th2v31142
OG0005662	Carub.0001s4178.1.p, Carub.0003s1220.1.p	Th2v23582
OG0005663	Carub.0003s0885.1.p	Th2v08893
OG0005665	Carub.0008s1367.1.p	Th2v26958, Th2v09697, Th2v28358
OG0005666	Carub.0002s2515.1.p	Th2v04202, Th2v27958
OG0005667	Carub.0004s0579.1.p	Th2v02014, Th2v01957, Th2v11074
OG0005668	Carub.0007s0878.1.p	Th2v12412
OG0005669	Carub.0005s0509.1.p	Th2v00266, Th2v28496
OG0005670	Carub.0008s0252.1.p	Th2v29921, Th2v30617
OG0005671	Carub.0006s0050.1.p	Th2v19905
OG0005672	Carub.0002s1506.1.p	Th2v03953, Th2v24853
OG0005673	Carub.0007s0524.1.p	Th2v02887, Th2v12113
OG0005674	Carub.0001s4128.1.p	Th2v21942
OG0005675	Carub.0004s2034.1.p	Th2v03735, Th2v17965, Th2v17001
OG0005676	Carub.0004s1797.1.p	Th2v14667
OG0005677	Carub.0005s2570.1.p	Th2v16438
OG0005678	Carub.0007s0539.1.p	Th2v03131
OG0005679	Carub.0006s2395.1.p	Th2v19240, Th2v29014
OG0005680	Carub.0004s2802.1.p	Th2v07042, Th2v18130
OG0005681	Carub.0004s2731.1.p	Th2v07099, Th2v18078
OG0005682	Carub.0007s0365.1.p	Th2v03034, Th2v21520, Th2v12251
OG0005683	Carub.0007s0632.1.p	Th2v02781
OG0005684	Carub.0001s1287.1.p	Th2v28530, Th2v28532
OG0005685	Carub.0001s0752.1.p	Th2v08348
OG0005686	Carub.0008s2714.1.p	Th2v13533, Th2v14239, Th2v26643
OG0005687	Carub.0004s1929.1.p	Th2v14618, Th2v16973
OG0005688	Carub.0005s1964.1.p, Carub.0002s1411.1.p, Carub.0002s1407.1.p	Th2v03643
OG0005689	Carub.0004s1208.1.p	Th2v10471, Th2v15863
OG0005690	Carub.0006s1752.1.p	Th2v11301, Th2v24636
OG0005691	Carub.0003s1081.1.p	Th2v08746, Th2v20267
OG0005692	Carub.0007s2767.1.p	Th2v08565, Th2v19625
OG0005693	Carub.0008s0247.1.p	Th2v16574, Th2v27302
OG0005694	Carub.0005s0485.1.p	Th2v00256, Th2v28505
OG0005695	Carub.0002s1470.1.p	Th2v30865
OG0005696	Carub.0008s0424.1.p	Th2v16186, Th2v27051
OG0005697	Carub.0008s2155.1.p	Th2v11868, Th2v13837
OG0005698	Carub.0007s2759.1.p, Carub.0001s4194.1.p	Th2v19382
OG0005699	Carub.0007s2530.1.p	Th2v26307, Th2v27664
OG0005701	Carub.0001s3579.1.p	Th2v01236, Th2v31397
OG0005702	Carub.0003s0253.1.p	Th2v09136
OG0005703	Carub.0004s2076.1.p	Th2v06591, Th2v15290, Th2v30076
OG0005704	Carub.0003s1269.1.p	Th2v23618, Th2v26165
OG0005705	Carub.0001s3205.1.p	Th2v17121, Th2v10888, Th2v04676, Th2v04677
OG0005706	Carub.0006s1113.1.p	Th2v19154, Th2v17518, Th2v29947
OG0005707	Carub.0006s1580.1.p	Th2v18552
OG0005708	Carub.0002s2615.1.p	Th2v23363, Th2v10140, Th2v23362
OG0005709	Carub.0007s1894.1.p	Th2v10819, Th2v04448, Th2v16717
OG0005710	Carub.0006s0899.1.p	Th2v29334, Th2v11766, Th2v13594
OG0005712	Carub.0007s1476.1.p	Th2v09881
OG0005713	Carub.0003s1119.1.p	Th2v20310
OG0005714	Carub.0006s0078.1.p	Th2v08951, Th2v19930, Th2v30985
OG0005715	Carub.0007s1041.1.p	Th2v01723, Th2v02140
OG0005716	Carub.0001s1214.1.p	Th2v06026, Th2v14734, Th2v20556
OG0005717	Carub.0001s1523.1.p	Th2v10239, Th2v23431
OG0005721	Carub.0008s0354.1.p	Th2v04290
OG0005723	Carub.0001s1753.1.p	Th2v09964, Th2v30837
OG0005724	Carub.0005s1410.1.p	Th2v23982
OG0005726	Carub.0006s2812.1.p	Th2v10929, Th2v17138
OG0005727	Carub.0007s0516.1.p	Th2v02895, Th2v29757
OG0005728	Carub.0005s0295.1.p, Carub.0008s2266.1.p	Th2v11895, Th2v06338, Th2v15036
OG0005729	Carub.0002s1626.1.p	Th2v00108, Th2v25023, Th2v25626
OG0005730	Carub.0003s2383.1.p	Th2v09270, Th2v17374
OG0005739	Carub.0188s0001.1.p	Th2v22275
OG0005745	Carub.0004s3001.1.p	Th2v12998, Th2v22700
OG0005746	Carub.0004s3019.1.p	Th2v07316, Th2v13011, Th2v22717
OG0005747	Carub.0003s1227.1.p	Th2v01033, Th2v26213
OG0005748	Carub.0007s1912.1.p	Th2v10805, Th2v04436, Th2v16707
OG0005749	Carub.0003s0632.1.p	Th2v08991
OG0005750	Carub.0006s1199.1.p	Th2v08654, Th2v11605, Th2v30449
OG0005752	Carub.0007s2476.1.p	Th2v10583
OG0005754	Carub.0005s1406.1.p	Th2v23992
OG0005756	Carub.0001s2884.1.p	Th2v10502, Th2v27879
OG0005757	Carub.0006s1671.1.p	Th2v22853
OG0005759	Carub.0001s0358.1.p	Th2v08046
OG0005760	Carub.0001s3129.1.p	Th2v04626
OG0005761	Carub.0005s2116.1.p	Th2v17687
OG0005762	Carub.0003s2479.1.p	Th2v25322, Th2v25361
OG0005763	Carub.0005s1485.1.p	Th2v09288, Th2v17355, Th2v14076
OG0005764	Carub.0005s0394.1.p, Carub.0005s0393.1.p	Th2v06440, Th2v15139
OG0005765	Carub.0001s1805.1.p, Carub.0001s1808.1.p	Th2v05905, Th2v21016
OG0005766	Carub.0002s1635.1.p	Th2v04002, Th2v25013
OG0005767	Carub.0001s3660.1.p	Th2v29059, Th2v30460
OG0005768	Carub.0006s1919.1.p	Th2v17990, Th2v21466
OG0005769	Carub.0005s1481.1.p	Th2v17745
OG0005770	Carub.0007s2310.1.p, Carub.0004s0792.1.p	Th2v02683, Th2v07415, Th2v10662
OG0005771	Carub.0005s2444.1.p	Th2v13197, Th2v25838
OG0005772	Carub.0004s1871.1.p	Th2v03652
OG0005773	Carub.0005s2868.1.p	Th2v07225
OG0005774	Carub.0002s0524.1.p	Th2v26360, Th2v27750
OG0005777	Carub.0001s3509.1.p	Th2v10990
OG0005778	Carub.0001s2962.1.p	Th2v10522, Th2v27828
OG0005779	Carub.0003s2259.1.p	Th2v19338
OG0005780	Carub.0006s0565.1.p	Th2v17714
OG0005782	Carub.0007s1694.1.p	Th2v31196, Th2v17256, Th2v17255, Th2v31468
OG0005783	Carub.0003s3383.1.p	Th2v01663
OG0005784	Carub.0006s3395.1.p	Th2v07971, Th2v16217
OG0005786	Carub.0004s1261.1.p	Th2v08180, Th2v15915
OG0005787	Carub.0004s2152.1.p, Carub.0004s0709.1.p	Th2v06659, Th2v15358, Th2v17772
OG0005788	Carub.0001s1366.1.p	Th2v28701
OG0005789	Carub.0004s1674.1.p	Th2v01416, Th2v27840
OG0005790	Carub.0008s2747.1.p	Th2v11715, Th2v13502
OG0005791	Carub.0001s0017.1.p	Th2v29256
OG0005792	Carub.0004s2055.1.p	Th2v14540, Th2v03749, Th2v09654
OG0005793	Carub.0002s0024.1.p	Th2v20440
OG0005794	Carub.0002s1989.1.p	Th2v05937, Th2v21058
OG0005795	Carub.0004s0192.1.p	Th2v02379, Th2v12746
OG0005796	Carub.0006s2599.1.p	Th2v17680
OG0005797	Carub.0005s1493.1.p	Th2v14079, Th2v17337
OG0005798	Carub.0003s0914.1.p	Th2v19141, Th2v20063
OG0005799	Carub.0005s2938.1.p	Th2v07291, Th2v13049, Th2v22757
OG0005800	Carub.0006s0106.1.p	Th2v19962
OG0005801	Carub.0002s1854.1.p	Th2v27907
OG0005802	Carub.0008s0083.1.p	Th2v17060
OG0005803	Carub.0004s2213.1.p	Th2v03380, Th2v22380
OG0005804	Carub.0003s2408.1.p	Th2v19474, Th2v28778
OG0005807	Carub.0002s1788.1.p	Th2v25742
OG0005808	Carub.0004s1434.1.p	Th2v00750, Th2v23442
OG0005809	Carub.0001s2828.1.p	Th2v03754, Th2v17030
OG0005810	Carub.0007s1627.1.p	Th2v09417, Th2v26812
OG0005811	Carub.0006s1678.1.p	Th2v11345, Th2v09020
OG0005812	Carub.0004s2560.1.p	Th2v06901, Th2v13311, Th2v25945
OG0005813	Carub.0001s1456.1.p	Th2v00043, Th2v05414
OG0005814	Carub.0008s2764.1.p	Th2v11704, Th2v14211, Th2v26671
OG0005815	Carub.0003s1769.1.p	Th2v26343, Th2v27625
OG0005816	Carub.0001s1216.1.p, Carub.0002s0207.1.p	Th2v04890
OG0005817	Carub.0004s1076.1.p	Th2v07486, Th2v15786
OG0005818	Carub.0007s2326.1.p	Th2v07420, Th2v10657, Th2v16509
OG0005819	Carub.0008s2298.1.p	Th2v13952
OG0005820	Carub.0003s0567.1.p	Th2v11312, Th2v28573
OG0005821	Carub.0002s2731.1.p	Th2v10241
OG0005822	Carub.0002s0357.1.p	Th2v20658
OG0005823	Carub.0001s3726.1.p	Th2v28950
OG0005824	Carub.0008s2355.1.p	Th2v09249, Th2v17396
OG0005825	Carub.0006s2230.1.p	Th2v21360, Th2v09245, Th2v17400, Th2v29471
OG0005826	Carub.0008s1812.1.p	Th2v09602, Th2v21754
OG0005827	Carub.0003s0751.1.p	Th2v08653, Th2v30448
OG0005828	Carub.0004s2320.1.p	Th2v28411
OG0005829	Carub.0005s1747.1.p	Th2v13444
OG0005830	Carub.0008s1744.1.p	Th2v09550, Th2v21719
OG0005831	Carub.0003s0639.1.p	Th2v11391, Th2v18363
OG0005832	Carub.0003s1339.1.p	Th2v23657, Th2v26096
OG0005833	Carub.0001s0961.1.p	Th2v05032, Th2v24275
OG0005834	Carub.0007s0681.1.p	Th2v02706
OG0005835	Carub.0002s0358.1.p	Th2v20660
OG0005836	Carub.0008s2636.1.p	Th2v11767, Th2v13595
OG0005837	Carub.0001s4441.1.p	Th2v23611, Th2v26186
OG0005838	Carub.0007s2585.1.p	Th2v18244, Th2v25499
OG0005839	Carub.0006s0133.1.p	Th2v19981, Th2v08923, Th2v14464
OG0005840	Carub.0006s0888.1.p	Th2v13606, Th2v29342
OG0005841	Carub.0002s2555.1.p	Th2v10064
OG0005843	Carub.0006s0559.1.p	Th2v08698, Th2v14314, Th2v22138
OG0005844	Carub.0004s0086.1.p	Th2v23366
OG0005845	Carub.0002s1402.1.p, Carub.0002s1406.1.p	Th2v28229
OG0005847	Carub.0006s0023.1.p	Th2v14507, Th2v19885
OG0005848	Carub.0001s0294.1.p	Th2v16181
OG0005849	Carub.0003s1817.1.p	Th2v26379, Th2v27728
OG0005850	Carub.0006s0791.1.p	Th2v11819
OG0005851	Carub.0006s1575.1.p	Th2v18554, Th2v22925
OG0005852	Carub.0006s3511.1.p	Th2v07908, Th2v27016
OG0005853	Carub.0005s2779.1.p, Carub.0003s3282.1.p	Th2v07156
OG0005854	Carub.0001s0309.1.p	Th2v16205
OG0005855	Carub.0006s1475.1.p	Th2v23000
OG0005856	Carub.0001s3957.1.p	Th2v20367
OG0005857	Carub.0008s0019.1.p	Th2v10616
OG0005858	Carub.0005s2831.1.p, Carub.0006s1683.1.p	Th2v03683, Th2v12904, Th2v22599
OG0005859	Carub.0007s0760.1.p	Th2v02019, Th2v07763
OG0005860	Carub.0002s2698.1.p	Th2v10201
OG0005861	Carub.0005s0950.1.p, Carub.0005s0937.1.p, Carub.0008s1616.1.p	Th2v09471
OG0005862	Carub.0004s2219.1.p	Th2v22033
OG0005863	Carub.0005s0985.1.p	Th2v18928
OG0005864	Carub.0006s0897.1.p	Th2v29335, Th2v29338
OG0005865	Carub.0006s0569.1.p	Th2v17717
OG0005867	Carub.0008s1825.1.p	Th2v05582
OG0005868	Carub.0006s2067.1.p	Th2v17914
OG0005869	Carub.0008s0340.1.p, Carub.0008s0341.1.p, Carub.0007s2118.1.p	Th2v04276, Th2v16608
OG0005870	Carub.0007s2089.1.p	Th2v16629
OG0005871	Carub.0003s1732.1.p	Th2v25540
OG0005872	Carub.0006s0733.1.p	Th2v24138
OG0005873	Carub.0006s0007.1.p	Th2v14515, Th2v08979, Th2v08980
OG0005874	Carub.0006s1210.1.p	Th2v24743
OG0005875	Carub.0002s2469.1.p	Th2v27988, Th2v27990
OG0005876	Carub.0005s0489.1.p, Carub.0007s0381.1.p	Th2v12235, Th2v02426, Th2v12236
OG0005877	Carub.0007s0773.1.p	Th2v02023
OG0005878	Carub.0002s1941.1.p	Th2v16940, Th2v23042
OG0005879	Carub.0007s2020.1.p	Th2v04357, Th2v16655
OG0005880	Carub.0001s1433.1.p	Th2v00069, Th2v06518, Th2v15216
OG0005881	Carub.0002s1856.1.p	Th2v21174, Th2v27909
OG0005882	Carub.0007s1895.1.p	Th2v10818
OG0005883	Carub.0007s2468.1.p	Th2v00770
OG0005885	Carub.0006s0950.1.p	Th2v17462, Th2v21410
OG0005886	Carub.0005s1546.1.p	Th2v21338
OG0005887	Carub.0007s0635.1.p	Th2v02561, Th2v12040
OG0005888	Carub.0003s2491.1.p	Th2v19547
OG0005889	Carub.0004s2803.1.p	Th2v07130, Th2v12837, Th2v22526
OG0005890	Carub.0002s2330.1.p	Th2v05778, Th2v20873, Th2v09786
OG0005891	Carub.0003s0605.1.p	Th2v09010, Th2v18378, Th2v11362
OG0005892	Carub.0002s1511.1.p	Th2v07793, Th2v29691, Th2v24859
OG0005893	Carub.0006s3673.1.p	Th2v16459
OG0005894	Carub.0001s1617.1.p, Carub.0001s0730.1.p	Th2v10141
OG0005895	Carub.0007s3389.1.p	Th2v20482, Th2v06061, Th2v14769
OG0005896	Carub.0007s0188.1.p	Th2v12705
OG0005897	Carub.0004s2271.1.p	Th2v23473, Th2v23474
OG0005898	Carub.0008s2692.1.p	Th2v13546
OG0005899	Carub.0005s1759.1.p	Th2v14152, Th2v26734
OG0005900	Carub.0008s0136.1.p	Th2v27162
OG0005901	Carub.0007s2222.1.p	Th2v27289, Th2v07375, Th2v10704
OG0005902	Carub.0001s4451.1.p	Th2v01947, Th2v23602
OG0005903	Carub.0001s2801.1.p	Th2v26567
OG0005904	Carub.0001s1220.1.p	Th2v20551, Th2v04888, Th2v06028
OG0005905	Carub.0005s0987.1.p	Th2v18924
OG0005906	Carub.0005s2743.1.p	Th2v07056, Th2v18117, Th2v12820, Th2v22509
OG0005907	Carub.0008s0507.1.p, Carub.0008s0504.1.p	Th2v00552
OG0005908	Carub.0002s1945.1.p	Th2v10009
OG0005909	Carub.0001s1458.1.p	Th2v06535, Th2v15234
OG0005911	Carub.0001s2114.1.p	Th2v28023, Th2v30957, Th2v30839
OG0005912	Carub.0004s3032.1.p	Th2v13029, Th2v22736, Th2v25804, Th2v27574, Th2v29930
OG0005913	Carub.0008s1324.1.p	Th2v02114, Th2v26953
OG0005915	Carub.0006s1422.1.p	Th2v18639
OG0005916	Carub.0001s2088.1.p	Th2v04130, Th2v09846
OG0005917	Carub.0003s0499.1.p	Th2v18443, Th2v25455, Th2v25456
OG0005918	Carub.0006s3060.1.p	Th2v04529, Th2v10846
OG0005919	Carub.0005s0630.1.p	Th2v26353, Th2v27613
OG0005921	Carub.0008s2725.1.p	Th2v13524, Th2v14233, Th2v26649
OG0005922	Carub.0007s2578.1.p	Th2v18246, Th2v26270
OG0005923	Carub.0006s1030.1.p	Th2v17593, Th2v19263
OG0005924	Carub.0003s1623.1.p	Th2v00826
OG0005925	Carub.0006s0224.1.p	Th2v14442
OG0005926	Carub.0006s0907.1.p, Carub.0006s0909.1.p	Th2v03039, Th2v28824
OG0005927	Carub.0002s0799.1.p	Th2v00797
OG0005928	Carub.0007s0132.1.p	Th2v03226, Th2v12534
OG0005929	Carub.0007s2031.1.p	Th2v07661, Th2v15631, Th2v08363
OG0005930	Carub.0002s1483.1.p	Th2v03961, Th2v24829
OG0005931	Carub.0005s1437.1.p	Th2v09261, Th2v17385, Th2v23964
OG0005932	Carub.0005s0302.1.p	Th2v14263, Th2v22087
OG0005933	Carub.0003s2775.1.p	Th2v08502, Th2v19721
OG0005934	Carub.0001s1258.1.p	Th2v00255, Th2v28506
OG0005935	Carub.0002s2521.1.p	Th2v04194, Th2v27954
OG0005938	Carub.0003s0711.1.p	Th2v11490, Th2v24770
OG0005939	Carub.0008s0544.1.p	Th2v26451, Th2v10335, Th2v28209
OG0005941	Carub.0003s2364.1.p	Th2v19430, Th2v24569
OG0005942	Carub.0004s1366.1.p	Th2v16001
OG0005943	Carub.0004s1765.1.p	Th2v14687
OG0005944	Carub.0008s1068.1.p, Carub.0008s1077.1.p	Th2v09378
OG0005945	Carub.0008s1123.1.p, Carub.0008s1124.1.p	Th2v23482, Th2v09349, Th2v26862
OG0005946	Carub.0006s3664.1.p	Th2v24517
OG0005947	Carub.0003s3254.1.p	Th2v12245
OG0005948	Carub.0004s1551.1.p	Th2v01296, Th2v26491
OG0005949	Carub.0001s1155.1.p	Th2v08470, Th2v25079
OG0005950	Carub.0004s1244.1.p	Th2v08187, Th2v15906
OG0005951	Carub.0001s0446.1.p	Th2v16012
OG0005952	Carub.0007s1667.1.p	Th2v03803, Th2v03804
OG0005954	Carub.0007s0959.1.p	Th2v01787, Th2v12364
OG0005955	Carub.0006s0153.1.p	Th2v14457, Th2v19999
OG0005956	Carub.0008s2047.1.p	Th2v10603
OG0005957	Carub.0006s2020.1.p	Th2v17938, Th2v17939, Th2v21205
OG0005958	Carub.0001s0209.1.p	Th2v07941
OG0005959	Carub.0003s2346.1.p	Th2v19413, Th2v24575
OG0005960	Carub.0001s0299.1.p	Th2v16175
OG0005961	Carub.0005s0281.1.p, Carub.0005s2415.1.p	Th2v00149
OG0005962	Carub.0008s1658.1.p	Th2v21691
OG0005963	Carub.0003s0126.1.p	Th2v23077
OG0005964	Carub.0005s1726.1.p	Th2v11682, Th2v14182, Th2v26702
OG0005965	Carub.0006s0705.1.p	Th2v11866, Th2v13828
OG0005966	Carub.0001s4358.1.p	Th2v06078, Th2v14787
OG0005967	Carub.0001s1141.1.p	Th2v04933, Th2v14702
OG0005968	Carub.0006s0128.1.p	Th2v08925, Th2v19979
OG0005969	Carub.0006s1901.1.p	Th2v18985
OG0005970	Carub.0004s1102.1.p	Th2v07473, Th2v07474, Th2v15798, Th2v07476, Th2v15796
OG0005971	Carub.0007s0020.1.p	Th2v03291, Th2v29400, Th2v05782, Th2v20878
OG0005972	Carub.0007s0958.1.p	Th2v01788, Th2v02103
OG0005973	Carub.0001s1243.1.p, Carub.0002s0185.1.p	Th2v04875
OG0005974	Carub.0006s0194.1.p	Th2v08895, Th2v20016
OG0005975	Carub.0004s1738.1.p	Th2v10576
OG0005976	Carub.0007s0671.1.p	Th2v02612, Th2v11992
OG0005978	Carub.0008s2205.1.p	Th2v11883, Th2v13876
OG0005979	Carub.0003s2420.1.p	Th2v19485, Th2v24550
OG0005980	Carub.0006s1262.1.p	Th2v06990, Th2v18170
OG0005981	Carub.0004s1874.1.p	Th2v03655, Th2v29370
OG0005982	Carub.0006s1967.1.p	Th2v17961, Th2v18930
OG0005983	Carub.0008s1325.1.p	Th2v26954, Th2v28366
OG0005984	Carub.0006s1973.1.p	Th2v17958, Th2v18922
OG0005985	Carub.0004s1938.1.p	Th2v14616, Th2v16965
OG0005986	Carub.0006s1023.1.p	Th2v17601, Th2v19269
OG0005987	Carub.0008s2013.1.p	Th2v18768, Th2v21290
OG0005988	Carub.0005s2125.1.p	Th2v03563, Th2v29780
OG0005989	Carub.0008s2618.1.p	Th2v13611, Th2v29329
OG0005990	Carub.0002s2235.1.p	Th2v19830
OG0005991	Carub.0008s1656.1.p	Th2v09505
OG0005992	Carub.0004s2797.1.p	Th2v07050, Th2v18122
OG0005993	Carub.0006s2120.1.p	Th2v24135
OG0005994	Carub.0007s2912.1.p	Th2v19530, Th2v25358
OG0005995	Carub.0003s0363.1.p	Th2v18505
OG0005996	Carub.0005s1611.1.p	Th2v13562
OG0005997	Carub.0007s2390.1.p	Th2v10628
OG0005998	Carub.0008s0045.1.p	Th2v13766
OG0005999	Carub.0008s2627.1.p	Th2v13603
OG0006000	Carub.0007s0133.1.p	Th2v12533
OG0006001	Carub.0001s0393.1.p	Th2v08072, Th2v16071
OG0006002	Carub.0005s2307.1.p	Th2v06740, Th2v15439
OG0006004	Carub.0006s0259.1.p	Th2v08851, Th2v20051
OG0006005	Carub.0007s3136.1.p	Th2v08543, Th2v19650
OG0006006	Carub.0003s0039.1.p	Th2v06987, Th2v18173, Th2v23175
OG0006007	Carub.0004s1593.1.p	Th2v24320, Th2v26549
OG0006008	Carub.0008s2167.1.p	Th2v13852, Th2v24097
