Orthogroup	Capsella_rubella	Aethionema_arabicum
OG0008084	Carub.0008s2688.1.p	AA4G00309
OG0008085	Carub.0001s1293.1.p	AA65G00342
OG0008086	Carub.0001s0741.1.p	AA87G00184
OG0008087	Carub.0007s1644.1.p	AA31G00022
OG0008088	Carub.0007s3008.1.p	AA634G00001
OG0008089	Carub.0003s3121.1.p	AA79G00022
OG0008090	Carub.0006s1740.1.p	AA40G00216
OG0008091	Carub.0002s1391.1.p	AA39G00761
OG0008092	Carub.0006s0325.1.p	AA19G00171
OG0008093	Carub.0002s1754.1.p	AA38G00022
OG0008094	Carub.0004s2888.1.p	AA21G00354
OG0008095	Carub.0002s0377.1.p	AA26G00525
OG0008096	Carub.0007s0284.1.p	AA30G00253
OG0008097	Carub.0007s0961.1.p	AA102G00247
OG0008099	Carub.0007s0056.1.p	AA67G00036, AA20G00068
OG0008101	Carub.0002s2532.1.p	AA31G00718
OG0008102	Carub.0001s2663.1.p	AA130G00004
OG0008103	Carub.0003s0705.1.p	AA68G00019, AA31G00020
OG0008104	Carub.0004s2742.1.p	AA21G00234
OG0008106	Carub.0006s2500.1.p	AA40G00095, AA40G00096, AA3000G00001
OG0008107	Carub.0004s1869.1.p	AA60G00106
OG0008108	Carub.0001s0204.1.p, Carub.0033s0003.1.p	AA7G00033
OG0008109	Carub.0007s2878.1.p	AA87G00378
OG0008110	Carub.0003s2307.1.p	AA17G00092
OG0008111	Carub.0003s1499.1.p	AA26G00241
OG0008113	Carub.0003s1955.1.p	AA26G00637
OG0008114	Carub.0002s2317.1.p	AA31G00337
OG0008115	Carub.0003s1455.1.p	AA26G00203
OG0008116	Carub.0001s1432.1.p	AA14G00053
OG0008117	Carub.0007s2213.1.p	AA57G00175
OG0008118	Carub.0006s1546.1.p	AA40G00381
OG0008119	Carub.0006s0859.1.p	AA44G00276
OG0008120	Carub.0001s1923.1.p	AA102G00045, AA39G00239
OG0008122	Carub.0006s0304.1.p	AA19G00190
OG0008123	Carub.0002s1789.1.p	AA38G00002
OG0008124	Carub.0007s0998.1.p	AA102G00200
OG0008125	Carub.0005s1807.1.p	AA30G00374
OG0008126	Carub.0006s3555.1.p	AA32G00207
OG0008127	Carub.0006s2133.1.p	AA5G00241
OG0008128	Carub.0001s3468.1.p	AA71G00003
OG0008129	Carub.0003s0256.1.p	AA10G00267
OG0008130	Carub.0004s0551.1.p, Carub.0005s0152.1.p	AA32G01083
OG0008133	Carub.0002s1416.1.p	AA134G00031
OG0008134	Carub.0001s4088.1.p	AA15G00002
OG0008135	Carub.0005s2476.1.p	AA61G00230
OG0008136	Carub.0001s0872.1.p	AA42G00018
OG0008137	Carub.0003s1163.1.p	AA168G00008
OG0008138	Carub.0006s2983.1.p	AA87G00283
OG0008139	Carub.0004s2961.1.p	AA21G00416
OG0008141	Carub.0007s0870.1.p	AA207G00002
OG0008143	Carub.0008s1335.1.p, Carub.0001s0969.1.p	AA11G00151
OG0008144	Carub.0001s0860.1.p	AA42G00035
OG0008145	Carub.0001s1270.1.p	AA65G00322
OG0008147	Carub.0006s1804.1.p	AA7G00120
OG0008148	Carub.0003s1768.1.p	AA26G00468
OG0008149	Carub.0003s2912.1.p	AA123G00081
OG0008150	Carub.0007s2343.1.p	AA57G00063
OG0008151	Carub.0005s2953.1.p	AA61G00602
OG0008152	Carub.0001s4440.1.p	AA15G00294
OG0008153	Carub.0008s2499.1.p	AA4G00155, AA44G00218
OG0008154	Carub.0007s0920.1.p	AA102G00287
OG0008155	Carub.0007s2835.1.p	AA87G00314
OG0008156	Carub.0008s0887.1.p	AA354G00002
OG0008157	Carub.0002s1806.1.p	AA31G00058
OG0008158	Carub.0002s0504.1.p	AA53G00468
OG0008159	Carub.0001s0478.1.p	AA4G00015
OG0008162	Carub.0004s2274.1.p	AA29G00227
OG0008164	Carub.0005s2548.1.p	AA61G00290
OG0008165	Carub.0006s2356.1.p	AA12G00109
OG0008166	Carub.0004s2555.1.p	AA21G00093, AA193G00006
OG0008168	Carub.0004s2177.1.p	AA29G00315
OG0008169	Carub.0007s1458.1.p	AA10G00481
OG0008170	Carub.0008s0979.1.p	AA84G00016
OG0008171	Carub.0003s1862.1.p	AA26G00559
OG0008172	Carub.0004s1455.1.p	AA19G00079, AA32G00459
OG0008173	Carub.0003s1894.1.p	AA26G00584
OG0008174	Carub.0001s1912.1.p	AA39G00231
OG0008175	Carub.0001s3725.1.p	AA18G00219
OG0008177	Carub.0006s0169.1.p	AA19G00271
OG0008178	Carub.0005s2816.1.p	AA211G00003
OG0008180	Carub.0005s1889.1.p	AA18G00047
OG0008181	Carub.0007s2452.1.p	AA53G00276
OG0008182	Carub.0007s0527.1.p	AA67G00023
OG0008183	Carub.0006s0693.1.p	AA44G00070
OG0008185	Carub.0001s0848.1.p	AA42G00053
OG0008186	Carub.0002s2092.1.p	AA31G00531
OG0008187	Carub.0005s1987.1.p	AA36G00049
OG0008189	Carub.0003s0228.1.p	AA10G00302
OG0008190	Carub.0005s2124.1.p	AA12G00035
OG0008191	Carub.0006s3543.1.p	AA32G00227
OG0008193	Carub.0008s0191.1.p	AA56G00075
OG0008195	Carub.0002s2257.1.p	AA31G00382
OG0008196	Carub.0004s1077.1.p	AA32G00732
OG0008198	Carub.0007s1675.1.p	AA31G00050, AA31G00049
OG0008199	Carub.0006s0647.1.p	AA44G00027
OG0008200	Carub.0005s0515.1.p	AA53G00901
OG0008202	Carub.0007s1337.1.p	AA32G01092
OG0008203	Carub.0003s1910.1.p	AA26G00600, AA26G00741
OG0008204	Carub.0008s2560.1.p	AA4G00213
OG0008205	Carub.0001s2564.1.p	AA39G00739
OG0008206	Carub.0007s0782.1.p	AA370G00002
OG0008208	Carub.0008s2310.1.p	AA5G00073
OG0008210	Carub.0001s2470.1.p	AA39G00659
OG0008211	Carub.0008s0677.1.p	AA69G00001, AA3G00193
OG0008212	Carub.0001s0944.1.p	AA65G00061
OG0008213	Carub.0003s3270.1.p	AA33G00130
OG0008214	Carub.0004s2655.1.p	AA21G00165
OG0008215	Carub.0007s1826.1.p	AA57G00498
OG0008216	Carub.0003s1773.1.p	AA26G00473
OG0008218	Carub.0007s0598.1.p, Carub.0127s0001.1.p	AA118G00071
OG0008219	Carub.0001s2825.1.p	AA54G00408
OG0008220	Carub.0003s0141.1.p	AA10G00377
OG0008221	Carub.0008s1346.1.p	AA77G00032
OG0008222	Carub.0008s0476.1.p	AA32G00403
OG0008223	Carub.0001s0490.1.p	AA4G00026
OG0008224	Carub.0006s2953.1.p	AA3G00076
OG0008225	Carub.0006s1563.1.p	AA40G00373
OG0008227	Carub.0007s3381.1.p	AA87G00040
OG0008228	Carub.0001s2738.1.p	AA54G00338
OG0008231	Carub.0008s0868.1.p	AA454G00002
OG0008233	Carub.0007s3579.1.p	AA87G00174
OG0008234	Carub.0005s0817.1.p	AA53G01113
OG0008235	Carub.0007s0378.1.p	AA30G00163
OG0008236	Carub.0001s1300.1.p	AA65G00359
OG0008238	Carub.0003s0237.1.p	AA10G00293
OG0008239	Carub.0006s1200.1.p	AA83G00018
OG0008240	Carub.0006s1651.1.p	AA40G00284, AA40G00285
OG0008241	Carub.0003s3476.1.p	AA33G00311
OG0008242	Carub.0001s1771.1.p	AA39G00117
OG0008243	Carub.0008s1828.1.p	AA44G00613
OG0008244	Carub.0008s1659.1.p	AA25G00159
OG0008245	Carub.0006s2570.1.p	AA40G00044
OG0008246	Carub.0003s0328.1.p	AA40G00283, AA10G00198
OG0008247	Carub.0005s2507.1.p	AA168G00012, AA61G00255, AA61G00265
OG0008248	Carub.0003s1223.1.p	AA26G00010
OG0008249	Carub.0001s1341.1.p	AA14G00002
OG0008250	Carub.0001s3252.1.p	AA54G00127
OG0008251	Carub.0005s0478.1.p	AA53G00886
OG0008252	Carub.0005s1203.1.p, Carub.0003s2829.1.p	AA16G00061
OG0008253	Carub.0003s2040.1.p	AA26G00713
OG0008254	Carub.0008s1703.1.p	AA44G00726
OG0008255	Carub.0008s1857.1.p	AA44G00587
OG0008256	Carub.0006s0724.1.p	AA44G00157
OG0008257	Carub.0005s0114.1.p	AA53G00689
OG0008258	Carub.0002s0623.1.p	AA53G00400
OG0008259	Carub.0008s1696.1.p	AA44G00732
OG0008260	Carub.0001s0147.1.p	AA7G00001
OG0008261	Carub.0005s0403.1.p	AA53G00847
OG0008262	Carub.0004s1438.1.p	AA32G00508
OG0008263	Carub.0004s2050.1.p	AA68G00045
OG0008264	Carub.0006s2186.1.p	AA5G00286
OG0008265	Carub.0005s0797.1.p	AA9G00021, AA53G01103
OG0008266	Carub.0003s0383.1.p	AA40G00035, AA10G00152
OG0008267	Carub.0003s1510.1.p	AA26G00251
OG0008268	Carub.0005s2893.1.p	AA61G00567
OG0008270	Carub.0006s1916.1.p	AA8G00187
OG0008271	Carub.0004s0938.1.p	AA32G00869
OG0008272	Carub.0006s1831.1.p	AA6G00242
OG0008273	Carub.0004s2926.1.p	AA21G00385
OG0008275	Carub.0003s3198.1.p	AA33G00084
OG0008277	Carub.0007s2891.1.p	AA87G00382
OG0008278	Carub.0003s1296.1.p	AA26G00067
OG0008279	Carub.0008s2397.1.p	AA4G00057
OG0008280	Carub.0005s1380.1.p	AA96G00035
OG0008281	Carub.0004s2582.1.p	AA21G00111
OG0008282	Carub.0008s2354.1.p	AA5G00040
OG0008283	Carub.0008s0641.1.p	AA3G00206
OG0008284	Carub.0002s2548.1.p	AA31G00733
OG0008285	Carub.0004s2099.1.p	AA60G00247, AA60G00230
OG0008287	Carub.0003s2314.1.p	AA17G00096
OG0008288	Carub.0002s2350.1.p	AA31G00304
OG0008290	Carub.0004s2913.1.p	AA21G00373, AA37G00008
OG0008291	Carub.0001s2651.1.p	AA403G00008
OG0008292	Carub.0001s2865.1.p	AA18G00126
OG0008294	Carub.0003s3350.1.p	AA33G00213
OG0008295	Carub.0001s0548.1.p	AA23G00013
OG0008296	Carub.0002s1472.1.p	AA227G00002
OG0008297	Carub.0006s1203.1.p	AA83G00007
OG0008298	Carub.0005s2954.1.p	AA61G00617
OG0008299	Carub.0003s0722.1.p	AA29G00150
OG0008300	Carub.0002s2058.1.p	AA38G00054, AA2134G00001
OG0008301	Carub.0005s2404.1.p	AA817G00001
OG0008302	Carub.0008s1810.1.p	AA44G00628
OG0008305	Carub.0003s2323.1.p	AA17G00102
OG0008306	Carub.0005s2388.1.p	AA61G00174
OG0008307	Carub.0008s2776.1.p	AA8G00053
OG0008308	Carub.0006s1607.1.p	AA40G00322
OG0008309	Carub.0002s1841.1.p	AA31G00088
OG0008310	Carub.0003s2763.1.p	AA44G00234
OG0008311	Carub.0006s1795.1.p	AA7G00126
OG0008312	Carub.0007s1730.1.p	AA54G00257
OG0008313	Carub.0006s0994.1.p	AA44G00403
OG0008314	Carub.0003s2242.1.p	AA17G00036
OG0008316	Carub.0004s1237.1.p, Carub.0004s2373.1.p	AA19G00441
OG0008317	Carub.0008s2028.1.p	AA1G00176
OG0008318	Carub.0003s2159.1.p	AA26G00800
OG0008319	Carub.0008s0165.1.p	AA56G00053
OG0008320	Carub.0004s1826.1.p	AA60G00147
OG0008321	Carub.0002s0542.1.p	AA53G00444, AA8G00091
OG0008323	Carub.0002s0562.1.p	AA151G00007, AA53G00431
OG0008324	Carub.0001s2405.1.p	AA39G00609
OG0008325	Carub.0008s0733.1.p	AA53G01021
OG0008326	Carub.0007s0362.1.p	AA30G00180, AA33G00125
OG0008327	Carub.0008s0182.1.p	AA56G00066
OG0008328	Carub.0001s3844.1.p	AA27G00210
OG0008329	Carub.0006s1608.1.p	AA40G00321
OG0008330	Carub.0005s0543.1.p	AA53G00943
OG0008331	Carub.0002s1750.1.p	AA38G00025
OG0008332	Carub.0008s1742.1.p	AA4G00096
OG0008333	Carub.0007s0083.1.p	AA20G00044
OG0008335	Carub.0007s3537.1.p	AA87G00142
OG0008336	Carub.0003s1139.1.p	AA148G00007
OG0008337	Carub.0001s1110.1.p	AA65G00199
OG0008338	Carub.0005s0746.1.p	AA53G01080
OG0008339	Carub.0004s2785.1.p	AA21G00266
OG0008340	Carub.0004s2838.1.p	AA21G00306, AA21G00305
OG0008341	Carub.0001s1257.1.p	AA65G00314
OG0008343	Carub.0006s2708.1.p	AA43G00108
OG0008344	Carub.0008s2509.1.p	AA4G00164
OG0008345	Carub.0004s3087.1.p, Carub.0003s3281.1.p	AA7G00141
OG0008347	Carub.0005s2985.1.p	AA61G00646
OG0008348	Carub.0007s0976.1.p	AA102G00223
OG0008349	Carub.0003s3240.1.p	AA144G00001
OG0008351	Carub.0005s1195.1.p	AA19G00241
OG0008352	Carub.0004s0547.1.p	AA31G00004
OG0008353	Carub.0003s1764.1.p	AA26G00464
OG0008354	Carub.0004s3048.1.p	AA21G00533
OG0008355	Carub.0008s2522.1.p	AA4G00175
OG0008356	Carub.0004s0092.1.p	AA46G00101
OG0008358	Carub.0005s1496.1.p	AA96G00133
OG0008360	Carub.0004s1120.1.p	AA32G00709
OG0008361	Carub.0003s1696.1.p	AA26G00404
OG0008362	Carub.0001s2082.1.p	AA39G00360
OG0008363	Carub.0005s0695.1.p	AA33G00216
OG0008364	Carub.0001s2937.1.p	AA9G00059
OG0008365	Carub.0005s1090.1.p	AA483G00002
OG0008366	Carub.0002s0490.1.p	AA53G00478
OG0008367	Carub.0002s1818.1.p	AA31G00069
OG0008368	Carub.0001s3335.1.p	AA54G00092
OG0008369	Carub.0007s0736.1.p	AA24G00002
OG0008370	Carub.0008s1785.1.p	AA44G00655
OG0008371	Carub.0007s0639.1.p	AA118G00053
OG0008373	Carub.0007s0872.1.p	AA207G00004
OG0008374	Carub.0004s2351.1.p	AA81G00066
OG0008375	Carub.0006s2409.1.p	AA40G00174
OG0008376	Carub.0001s0407.1.p	AA19G00054
OG0008377	Carub.0004s2765.1.p	AA21G00252
OG0008378	Carub.0003s0808.1.p	AA29G00218
OG0008379	Carub.0001s1383.1.p	AA14G00018
OG0008380	Carub.0004s0049.1.p	AA81G00013
OG0008381	Carub.0007s3228.1.p	AA27G00187, AA53G00473
OG0008382	Carub.0007s1983.1.p	AA57G00360
OG0008383	Carub.0001s2186.1.p	AA39G00428
OG0008384	Carub.0004s0139.1.p	AA46G00122
OG0008386	Carub.0006s3646.1.p	AA32G00024
OG0008387	Carub.0004s2804.1.p	AA21G00282
OG0008388	Carub.0008s1546.1.p	AA25G00056
OG0008389	Carub.0007s2514.1.p	AA53G00328
OG0008390	Carub.0005s0373.1.p	AA53G00827
OG0008391	Carub.0001s1824.1.p	AA39G00150
OG0008392	Carub.0003s3505.1.p	AA33G00323
OG0008394	Carub.0006s2354.1.p	AA26G00107
OG0008395	Carub.0008s0708.1.p	AA3G00168
OG0008396	Carub.0001s0286.1.p	AA7G00102
OG0008397	Carub.0003s1880.1.p	AA2G00082
OG0008398	Carub.0005s1548.1.p	AA96G00164, AA96G00165
OG0008399	Carub.0006s1246.1.p	AA40G00638
OG0008400	Carub.0005s1699.1.p	AA13G00052
OG0008401	Carub.0001s4461.1.p	AA15G00310
OG0008402	Carub.0005s1878.1.p, Carub.0008s2096.1.p	AA8G00344
OG0008403	Carub.0006s0086.1.p	AA93G00095, AA19G00335
OG0008404	Carub.0003s2245.1.p	AA17G00039
OG0008405	Carub.0006s1668.1.p	AA40G00271
OG0008406	Carub.0008s2413.1.p	AA4G00072
OG0008407	Carub.0005s2946.1.p	AA27G00219
OG0008408	Carub.0006s1732.1.p	AA40G00223
OG0008409	Carub.0005s2343.1.p	AA61G00429
OG0008410	Carub.0004s3029.1.p	AA21G00484
OG0008411	Carub.0003s1372.1.p	AA26G00130
OG0008412	Carub.0003s1530.1.p	AA26G00268
OG0008414	Carub.0006s1818.1.p	AA43G00117
OG0008415	Carub.0005s1426.1.p	AA5G00029, AA96G00078
OG0008416	Carub.0007s0950.1.p	AA32G00496
OG0008417	Carub.0008s0280.1.p	AA6G00061
OG0008418	Carub.0001s0272.1.p	AA19G00159
OG0008419	Carub.0006s1736.1.p	AA40G00219
OG0008420	Carub.0008s1865.1.p	AA44G00580
OG0008421	Carub.0002s1813.1.p	AA31G00066
OG0008423	Carub.0003s1855.1.p	AA26G00543
OG0008424	Carub.0001s2212.1.p	AA39G00449
OG0008426	Carub.0003s0664.1.p	AA29G00098
OG0008427	Carub.0001s3007.1.p	AA9G00104, AA53G00029
OG0008428	Carub.0003s0853.1.p	AA396G00001, AA93G00107
OG0008429	Carub.0001s2565.1.p	AA134G00025
OG0008430	Carub.0006s0827.1.p	AA44G00247
OG0008431	Carub.0005s0007.1.p	AA53G00595
OG0008432	Carub.0008s0620.1.p	AA3G00217
OG0008433	Carub.0005s0376.1.p	AA53G00828
OG0008433	Carub.0001s1309.1.p	AA65G00349
OG0008434	Carub.0001s0596.1.p	AA23G00061
OG0008435	Carub.0001s4303.1.p	AA15G00139
OG0008436	Carub.0007s1604.1.p	AA131G00032, AA75G00024
OG0008437	Carub.0004s2902.1.p	AA21G00364
OG0008438	Carub.0008s0241.1.p	AA6G00037
OG0008439	Carub.0005s1741.1.p	AA13G00023
OG0008440	Carub.0007s2100.1.p	AA57G00253
OG0008441	Carub.0005s0362.1.p	AA53G00817
OG0008442	Carub.0002s0182.1.p	AA53G01381
OG0008444	Carub.0007s1120.1.p	AA102G00086
OG0008445	Carub.0001s2698.1.p	AA49G00049
OG0008446	Carub.0002s0059.1.p	AA87G00041, AA53G01318
OG0008447	Carub.0006s0712.1.p	AA44G00147
OG0008448	Carub.0007s1690.1.p	AA366G00002
OG0008449	Carub.0006s1418.1.p	AA40G00503
OG0008450	Carub.0007s3596.1.p	AA9G00046
OG0008451	Carub.0001s2506.1.p	AA39G00691
OG0008452	Carub.0008s0797.1.p	AA93G00200
OG0008453	Carub.0007s1475.1.p	AA81G00052
OG0008454	Carub.0005s2128.1.p	AA163G00011
OG0008456	Carub.0008s1879.1.p	AA198G00004
OG0008457	Carub.0004s1210.1.p	AA32G00632
OG0008458	Carub.0001s2022.1.p	AA39G00308
OG0008459	Carub.0007s2364.1.p	AA57G00045
OG0008460	Carub.0006s3312.1.p	AA6G00227
OG0008462	Carub.0006s0363.1.p	AA12G00188
OG0008463	Carub.0002s2043.1.p	AA31G00575
OG0008464	Carub.0002s2201.1.p	AA31G00437
OG0008465	Carub.0008s2104.1.p	AA8G00341, AA34G00036
OG0008466	Carub.0004s1950.1.p	AA60G00014
OG0008467	Carub.0002s0350.1.p	AA53G00560
OG0008468	Carub.0005s1946.1.p	AA36G00015
OG0008469	Carub.0001s0001.1.p	AA1G00139
OG0008470	Carub.0002s0415.1.p	AA53G00527
OG0008471	Carub.0004s1212.1.p	AA32G00630
OG0008472	Carub.0003s1929.1.p	AA26G00617
OG0008473	Carub.0007s1958.1.p	AA57G00382
OG0008474	Carub.0001s2484.1.p	AA39G00671
OG0008475	Carub.0003s2086.1.p	AA26G00751
OG0008476	Carub.0004s1444.1.p	AA32G00475
OG0008477	Carub.0001s1059.1.p	AA65G00156
OG0008478	Carub.0004s2131.1.p	AA60G00284
OG0008479	Carub.0001s2847.1.p	AA209G00002
OG0008480	Carub.0008s2529.1.p	AA44G00235, AA4G00188
OG0008481	Carub.0001s0812.1.p	AA103G00004
OG0008482	Carub.0006s1669.1.p	AA40G00268
OG0008483	Carub.0008s1193.1.p	AA55G00058, AA587G00002
OG0008484	Carub.0001s0802.1.p	AA129G00015
OG0008486	Carub.0001s0740.1.p	AA674G00001
OG0008487	Carub.0006s3148.1.p	AA6G00318
OG0008488	Carub.0002s2170.1.p	AA31G00461
OG0008489	Carub.0003s0726.1.p	AA29G00154
OG0008490	Carub.0003s2430.1.p	AA78G00008
OG0008491	Carub.0003s0660.1.p	AA317G00002, AA29G00096
OG0008492	Carub.0001s0088.1.p, Carub.0008s2038.1.p	AA40G00372
OG0008493	Carub.0002s2679.1.p	AA31G00860
OG0008494	Carub.0006s2086.1.p	AA3G00165
OG0008495	Carub.0001s3778.1.p	AA2G00015, AA36G00001
OG0008496	Carub.0005s2739.1.p, Carub.0005s2750.1.p	AA61G00446
OG0008497	Carub.0002s0188.1.p	AA53G01384
OG0008498	Carub.0002s2409.1.p	AA31G00257
OG0008499	Carub.0006s2547.1.p	AA40G00052
OG0008500	Carub.0003s2630.1.p	AA87G00157
OG0008501	Carub.0002s2511.1.p	AA31G00157
OG0008502	Carub.0001s0062.1.p, Carub.0001s0213.1.p	AA7G00043
OG0008504	Carub.0006s0798.1.p	AA44G00222
OG0008505	Carub.0003s2172.1.p	AA26G00809
OG0008506	Carub.0001s0911.1.p	AA65G00028
OG0008507	Carub.0006s0219.1.p	AA19G00243
OG0008508	Carub.0007s0831.1.p	AA48G00001
OG0008510	Carub.0001s3540.1.p	AA44G00552
OG0008511	Carub.0005s0799.1.p	AA53G01105
OG0008512	Carub.0002s2352.1.p	AA31G00303
OG0008513	Carub.0006s1425.1.p, Carub.0055s0008.1.p	AA94G00007, AA40G00496
OG0008514	Carub.0004s2029.1.p	AA59G00023
OG0008515	Carub.0004s0712.1.p	AA32G00988
OG0008516	Carub.0005s1418.1.p	AA96G00072
OG0008517	Carub.0008s0009.1.p	AA303G00001
OG0008520	Carub.0003s1078.1.p	AA52G00011
OG0008521	Carub.0003s3371.1.p	AA33G00225
OG0008522	Carub.0002s1931.1.p	AA31G00695
OG0008524	Carub.0007s0181.1.p	AA30G00351
OG0008525	Carub.0006s0896.1.p	AA44G00305
OG0008526	Carub.0003s3408.1.p	AA33G00258
OG0008527	Carub.0007s0022.1.p	AA20G00094
OG0008528	Carub.0003s0673.1.p	AA29G00106
OG0008529	Carub.0001s3472.1.p	AA54G00004
OG0008530	Carub.0003s1181.1.p	AA1332G00001
OG0008531	Carub.0004s2357.1.p	AA81G00063
OG0008532	Carub.0007s2478.1.p	AA53G00302, AA53G00301
OG0008533	Carub.0005s0231.1.p	AA53G00751
OG0008535	Carub.0001s2404.1.p	AA39G00608
OG0008536	Carub.0005s1465.1.p	AA96G00104, AA96G00103
OG0008537	Carub.0006s0090.1.p	AA19G00331
OG0008538	Carub.0005s0294.1.p	AA53G00783
OG0008539	Carub.0001s3066.1.p	AA53G00217
OG0008540	Carub.0003s2594.1.p	AA659G00001, AA742G00002
OG0008541	Carub.0008s2377.1.p	AA5G00019
OG0008543	Carub.0001s0904.1.p	AA65G00021
OG0008544	Carub.0006s1289.1.p	AA40G00607
OG0008545	Carub.0006s2600.1.p	AA40G00029
OG0008546	Carub.0007s2231.1.p	AA57G00162
OG0008547	Carub.0007s0940.1.p	AA102G00269
OG0008549	Carub.0006s0518.1.p	AA119G00011
OG0008551	Carub.0003s1999.1.p	AA26G00676
OG0008552	Carub.0007s2934.1.p	AA183G00005
OG0008553	Carub.0006s0428.1.p, Carub.0008s0600.1.p	AA35G00046
OG0008554	Carub.0007s2544.1.p	AA18G00185
OG0008555	Carub.0005s0377.1.p	AA53G00829
OG0008556	Carub.0006s3714.1.p	AA32G01016
OG0008557	Carub.0005s1749.1.p	AA13G00017
OG0008558	Carub.0004s3074.1.p	AA21G00561
OG0008559	Carub.0001s3014.1.p	AA53G00041
OG0008560	Carub.0002s2421.1.p	AA31G00244
OG0008561	Carub.0005s2977.1.p	AA61G00640
OG0008562	Carub.0008s1219.1.p	AA55G00044
OG0008563	Carub.0003s2987.1.p	AA123G00051
OG0008564	Carub.0002s1809.1.p	AA31G00061
OG0008565	Carub.0001s1129.1.p	AA65G00212
OG0008566	Carub.0005s2791.1.p	AA61G00485
OG0008567	Carub.0003s2618.1.p	AA193G00003
OG0008568	Carub.0004s1956.1.p	AA60G00006
OG0008569	Carub.0002s2339.1.p	AA31G00317, AA31G00316
OG0008570	Carub.0002s2152.1.p	AA31G00477
OG0008572	Carub.0002s1456.1.p	AA2G00161
OG0008573	Carub.0099s0003.1.p, Carub.0005s2500.1.p, Carub.0339s0002.1.p	AA61G00249
OG0008574	Carub.0001s2490.1.p	AA39G00676
OG0008575	Carub.0003s1763.1.p	AA26G00463
OG0008576	Carub.0006s0923.1.p	AA12G00060, AA44G00337
OG0008577	Carub.0007s2494.1.p	AA53G00312
OG0008578	Carub.0003s1750.1.p	AA26G00453
OG0008579	Carub.0001s2512.1.p	AA39G00694
OG0008580	Carub.0006s1489.1.p	AA40G00438
OG0008581	Carub.0006s1483.1.p	AA40G00447
OG0008582	Carub.0004s0866.1.p	AA32G00901
OG0008583	Carub.0005s2771.1.p	AA61G00466
OG0008584	Carub.0001s4099.1.p	AA374G00001, AA15G00009
OG0008586	Carub.0008s1796.1.p	AA44G00647
OG0008587	Carub.0007s2355.1.p	AA57G00052
OG0008588	Carub.0008s0494.1.p	AA134G00046, AA93G00184
OG0008589	Carub.0007s3503.1.p	AA53G01006
OG0008591	Carub.0008s1149.1.p	AA41G00024
OG0008593	Carub.0006s1847.1.p	AA141G00005
OG0008594	Carub.0001s1109.1.p	AA65G00198
OG0008595	Carub.0008s2517.1.p	AA4G00170
OG0008596	Carub.0004s0929.1.p	AA32G00874
OG0008598	Carub.0002s2692.1.p	AA31G00866
OG0008599	Carub.0006s3681.1.p	AA1G00092, AA32G00088
OG0008600	Carub.0002s0014.1.p	AA53G01288
OG0008601	Carub.0003s0298.1.p	AA10G00221
OG0008602	Carub.0003s3145.1.p	AA33G00049
OG0008603	Carub.0001s0091.1.p	AA1G00057
OG0008604	Carub.0020s0004.1.p	AA40G00010
OG0008605	Carub.0007s0265.1.p	AA30G00272
OG0008606	Carub.0007s3456.1.p	AA8G00223
OG0008607	Carub.0007s2091.1.p	AA6G00142, AA57G00267
OG0008608	Carub.0004s1310.1.p	AA32G00566
OG0008609	Carub.0004s0900.1.p	AA32G00882
OG0008610	Carub.0003s1348.1.p	AA26G00108
OG0008611	Carub.0004s0808.1.p	AA32G00966
OG0008612	Carub.0006s1104.1.p	AA44G00501
OG0008614	Carub.0002s2255.1.p	AA31G00384
OG0008615	Carub.0007s3001.1.p	AA394G00011
OG0008617	Carub.0003s1728.1.p	AA26G00429
OG0008618	Carub.0002s2017.1.p, Carub.0001s3831.1.p	AA31G00610
OG0008619	Carub.0003s0829.1.p	AA93G00084
OG0008620	Carub.0001s2824.1.p	AA54G00407
OG0008621	Carub.0001s2533.1.p	AA39G00711
OG0008622	Carub.0008s0112.1.p	AA56G00007
OG0008623	Carub.0003s3474.1.p	AA33G00310
OG0008624	Carub.0007s3118.1.p	AA708G00001
OG0008626	Carub.0004s2860.1.p	AA21G00329
OG0008627	Carub.0005s2251.1.p	AA61G00056
OG0008628	Carub.0003s0101.1.p	AA10G00411
OG0008629	Carub.0003s1252.1.p	AA26G00034
OG0008630	Carub.0003s2033.1.p	AA78G00047, AA26G00706
OG0008631	Carub.0003s0099.1.p	AA10G00413
OG0008632	Carub.0008s1100.1.p	AA75G00047
OG0008633	Carub.0004s1111.1.p	AA32G00719
OG0008634	Carub.0006s1860.1.p	AA8G00133
OG0008635	Carub.0002s1651.1.p	AA38G00101
OG0008636	Carub.0004s1737.1.p	AA9G00163
OG0008638	Carub.0005s2229.1.p	AA61G00043
OG0008639	Carub.0006s1379.1.p	AA40G00532
OG0008640	Carub.0002s0563.1.p	AA53G00432
OG0008641	Carub.0005s0060.1.p	AA385G00002, AA53G00646
OG0008642	Carub.0008s0345.1.p	AA6G00126
OG0008643	Carub.0003s0549.1.p	AA10G00009
OG0008644	Carub.0006s1845.1.p	AA26G00209
OG0008645	Carub.0005s2981.1.p	AA61G00643
OG0008646	Carub.0004s1699.1.p	AA9G00144
OG0008647	Carub.0006s0282.1.p	AA19G00202
OG0008650	Carub.0007s1077.1.p	AA102G00113
OG0008651	Carub.0008s2127.1.p	AA8G00323
OG0008652	Carub.0007s1250.1.p	AA40G00191
OG0008654	Carub.0002s1464.1.p	AA39G00705
OG0008655	Carub.0007s1600.1.p	AA131G00027
